"claim_id","customer_id","incident_cause","claim_date","claim_area","police_report","claim_type","claim_amount","total_policy_claims","fraudulent"
64959397,85536059,"Other driver error","04/25/2017","Auto","Yes","Material and injury","$33000",2,"No"
3673097,54642094,"Driver error","04/12/2017","Auto","No","Injury only","$19960",1,"No"
58245818,47091036,"Driver error","07/27/2018","Home","No","Injury only","$27230",1,"No"
83744906,48277275,"Other driver error","04/12/2017","Auto","No","Material and injury","$16150",1,"No"
14836805,75252854,"Other driver error","02/23/2017","Auto","Yes","Injury only","$32630",1,"No"
28636278,31012778,"Other causes","03/01/2018","Auto","No","Material only",NA,5,"Yes"
96749077,84571128,"Natural causes","05/15/2017","Auto","No","Material only",NA,1,"Yes"
40638641,38286862,"Other causes","10/31/2017","Auto","Unknown","Material and injury","$41850",1,"No"
94303580,1163515,"Crime","04/25/2017","Auto","Yes","Injury only","$30540",1,"No"
39647651,18361978,"Other causes","08/31/2017","Auto","Unknown","Material and injury","$25576",7,"Yes"
97983922,94953428,"Other causes","06/18/2017","Auto","No","Material only","$2210",3,"No"
42420540,42333031,"Other causes","02/22/2018","Auto","Yes","Material and injury","$40820",3,"No"
25108581,91786228,"Other driver error","06/23/2018","Auto","No","Material only","$1150",1,"Yes"
54192772,61051505,"Other driver error","07/01/2017","Auto","Unknown","Material and injury","$35765",1,"Yes"
47783756,8132649,"Other driver error","11/20/2017","Auto","No","Material only","$2470",1,"No"
14730852,49428676,"Other causes","06/17/2018","Auto","No","Material and injury","$20999",1,"Yes"
37727681,77436411,"Other driver error","02/02/2018","Auto","Unknown","Material only","$3358",4,"Yes"
87229793,44319192,"Other causes","04/10/2018","Auto","Yes","Material and injury","$41430",1,"No"
73138939,57510487,"Driver error","12/10/2017","Auto","No","Material only","$1730",1,"No"
23504103,62797342,"Other driver error","02/09/2018","Auto","Unknown","Material and injury","$20360",1,"No"
29613369,56923917,"Other driver error","05/21/2018","Auto","No","Material only","$2870",4,"No"
21972507,83088652,"Driver error","01/14/2017","Auto","Unknown","Material only","$2910",1,"No"
42737631,53087364,"Other causes","07/22/2017","Home","No","Material and injury","$33550",1,"No"
95352573,9089663,"Other driver error","11/20/2017","Auto","No","Material and injury","$33190",1,"No"
43973221,83290720,"Driver error","09/26/2018","Auto","Yes","Material and injury",NA,1,"No"
79089153,78364565,"Other causes","02/10/2017","Auto","Yes","Injury only","$25830",3,"No"
37305754,99761663,"Natural causes","04/04/2018","Auto","No","Material only","$1242",1,"Yes"
55252454,6298259,"Natural causes","05/29/2017","Auto","Unknown","Material and injury","$20080",2,"No"
20332975,51936868,"Natural causes","08/16/2018","Auto","No","Material only","$2120",1,"No"
69101899,35907845,"Crime","05/14/2018","Auto","Unknown","Material and injury","$19520",1,"No"
49234022,17390816,"Natural causes","03/29/2017","Auto","No","Material only","$2090",1,"No"
85585944,9908654,"Other driver error","06/23/2018","Auto","No","Material only","$1989.5",1,"Yes"
35407789,47228798,"Crime","01/21/2017","Auto","Unknown","Material only",NA,1,"Yes"
26332402,11593991,"Other causes","03/01/2018","Auto","No","Material only","$2060",1,"No"
50337100,15036122,"Other driver error","07/20/2018","Auto","Unknown","Injury only","$30080",1,"No"
1886311,59046302,"Driver error","04/04/2018","Auto","No","Material only","$1680",6,"No"
84635473,74058124,"Driver error","01/13/2018","Auto","Unknown","Injury only","$21505",1,"Yes"
99210077,95221640,"Crime","05/21/2018","Auto","No","Material only","$2040",1,"No"
57876931,5956033,"Other driver error","02/09/2018","Auto","No","Material and injury",NA,1,"Yes"
11951632,91462331,"Driver error","02/15/2018","Auto","Unknown","Material and injury","$42722.5",1,"Yes"
61170397,7946799,"Other causes","07/27/2018","Auto","Unknown","Material and injury","$34971.5",5,"Yes"
66546485,83884401,"Driver error","05/22/2017","Auto","No","Material only","$1288",1,"Yes"
62769771,36498462,"Driver error","06/11/2017","Auto","Yes","Injury only","$37800",1,"No"
87452238,88191021,"Driver error","10/04/2017","Auto","Yes","Material only",NA,1,"No"
99573716,88567908,"Driver error","01/27/2017","Auto","No","Material only","$1180",1,"No"
39128289,72896975,"Other driver error","07/08/2017","Auto","Unknown","Material and injury","$32480",1,"No"
64573390,85650096,"Crime","08/03/2018","Auto","No","Material only","$2710",1,"No"
2181243,51349085,"Crime","10/17/2017","Auto","No","Material only","$2620",2,"No"
51685791,90202451,"Other driver error","11/20/2017","Auto","No","Material only","$1943.5",1,"Yes"
1633198,55180831,"Other driver error","09/07/2017","Auto","No","Material and injury",NA,1,"No"
15165423,14433043,"Driver error","06/30/2018","Auto","Yes","Material only","$2170",5,"No"
76552623,56590042,"Other causes","11/06/2017","Auto","No","Injury only","$31498.5",4,"Yes"
64731876,43870673,"Other causes","05/22/2017","Auto","Unknown","Material only","$1700",1,"No"
95376481,84734050,"Crime","05/28/2018","Auto","Unknown","Material only","$2220",1,"No"
21229844,73246256,"Crime","11/13/2017","Auto","No","Material only","$1020",1,"No"
4506676,2632562,"Other driver error","05/14/2018","Home","Unknown","Material only","$1400",1,"No"
712628,74125758,"Other causes","11/27/2017","Auto","Unknown","Injury only","$22960",1,"No"
82144259,92752865,"Driver error","04/25/2017","Auto","No","Injury only",NA,1,"No"
93009471,47086007,"Other causes","03/09/2017","Auto","Yes","Injury only","$18400",1,"No"
23721504,33987747,"Driver error","01/14/2017","Auto","No","Material and injury","$37524.5",1,"Yes"
43899763,37312925,"Driver error","10/31/2017","Auto","Yes","Injury only","$16070",1,"No"
4821698,13233814,"Other causes","07/08/2017","Auto","Unknown","Material and injury","$17230",1,"No"
34488157,32561536,"Natural causes","11/06/2017","Auto","No","Material and injury","$24564",1,"Yes"
79953107,73456835,"Other driver error","10/16/2018","Auto","No","Material only","$2599",1,"Yes"
77727200,84767457,"Driver error","12/03/2017","Auto","Unknown","Material and injury","$23740",1,"No"
33038715,31901720,"Crime","03/21/2018","Auto","No","Material only","$1510",1,"No"
10744544,67885239,"Driver error","05/28/2018","Auto","No","Material only","$2740",1,"No"
67043170,94448966,"Other driver error","10/16/2018","Auto","No","Injury only","$23760",1,"No"
98303926,94633091,"Crime","06/25/2017","Auto","No","Material only","$1640",1,"No"
84863978,90116906,"Driver error","11/13/2017","Auto","No","Injury only","$23270",6,"No"
48203523,82832313,"Other driver error","12/03/2017","Auto","Yes","Injury only","$29060",1,"No"
73460630,87993949,"Other causes","06/23/2018","Auto","Unknown","Injury only","$25783",2,"Yes"
65335959,61810954,"Other driver error","09/19/2018","Auto","Unknown","Material and injury","$36620",1,"No"
38446319,55782839,"Other causes","12/17/2017","Auto","Unknown","Injury only","$21300",1,"No"
39131766,39587790,"Other causes","01/01/2017","Auto","No","Material only","$2967",1,"Yes"
9961723,14293434,"Other driver error","05/22/2017","Home","No","Material and injury","$44493.5",1,"Yes"
8405500,46620413,"Other causes","03/02/2017","Auto","Unknown","Material only","$3070.5",1,"Yes"
58103215,53798973,"Other driver error","05/01/2018","Auto","No","Material only","$2560",1,"No"
7316148,15556454,"Crime","03/14/2018","Auto","No","Material only","$2070",1,"No"
35026470,61497833,"Other driver error","11/06/2017","Auto","No","Material only","$1759.5",4,"Yes"
57560277,92889077,"Natural causes","03/08/2018","Home","No","Material only","$1771",5,"Yes"
19911335,19171044,"Driver error","04/12/2017","Auto","Yes","Injury only","$17360",1,"No"
54506772,93291407,"Other driver error","07/28/2017","Auto","Unknown","Material only","$1368.5",1,"Yes"
11618238,96710523,"Other causes","03/21/2018","Home","Yes","Injury only","$19240",1,"No"
46248222,52542420,"Other driver error","04/10/2018","Auto","No","Material and injury","$14260",2,"No"
13774284,37741743,"Natural causes","03/08/2018","Auto","No","Material only","$1350",1,"No"
30488859,48145469,"Other causes","04/10/2018","Auto","Unknown","Material only","$1860",1,"No"
52959888,25709472,"Other driver error","10/23/2018","Auto","Unknown","Injury only","$15440",1,"No"
4112041,58402401,"Other causes","09/12/2018","Auto","Unknown","Material and injury","$32710",1,"No"
12179959,23092790,"Crime","08/03/2018","Auto","Unknown","Material only","$1380",1,"No"
59404655,62476442,"Natural causes","05/15/2017","Auto","No","Material and injury",NA,2,"No"
5176652,39943087,"Other driver error","03/16/2017","Auto","Unknown","Material only","$2510",1,"No"
1657284,41265642,"Crime","07/22/2017","Auto","No","Material only",NA,1,"Yes"
72074471,73383008,"Other driver error","02/09/2018","Auto","Unknown","Injury only","$44700.5",1,"Yes"
36664338,77896466,"Driver error","12/17/2017","Auto","No","Material only","$1550",1,"No"
50826770,83526368,"Crime","10/03/2018","Auto","Unknown","Material only","$1850",3,"No"
64209730,31439710,"Other driver error","07/20/2018","Home","No","Material only","$2760",1,"No"
49955266,30227653,"Other driver error","09/07/2017","Auto","No","Material only","$2740",1,"No"
44581152,86993944,"Other driver error","12/30/2017","Auto","Unknown","Injury only","$26480",1,"No"
32116508,65728108,"Other causes","10/09/2018","Auto","Unknown","Material and injury","$47610",3,"Yes"
48559754,45539668,"Other driver error","12/30/2017","Auto","No","Material only","$2170",1,"No"
26716331,3159546,"Other driver error","04/25/2017","Auto","No","Injury only","$17590",4,"No"
74738945,88449349,"Other causes","09/12/2018","Auto","No","Material only","$1080",1,"No"
30532684,35937389,"Natural causes","02/23/2017","Auto","Unknown","Material only","$2610",2,"No"
81488988,19441247,"Natural causes","07/22/2017","Auto","No","Material only","$1320",1,"No"
71767146,7208859,"Crime","07/01/2017","Auto","No","Material only","$1840",1,"No"
67042203,65950591,"Driver error","01/14/2017","Auto","No","Material only","$2970",1,"No"
66578763,2327487,"Driver error","05/07/2018","Auto","No","Material only",NA,5,"No"
30930636,30722342,"Driver error","04/04/2018","Home","Yes","Injury only","$17180",5,"No"
30119116,31289360,"Other driver error","02/23/2017","Auto","No","Material only","$2720",1,"No"
45189268,24826170,"Driver error","07/08/2017","Auto","No","Material only","$2700",1,"No"
5567470,14860484,"Other causes","03/29/2017","Auto","Unknown","Injury only","$14240",4,"No"
46868258,39642700,"Driver error","12/10/2017","Auto","No","Material only","$2560",3,"No"
74988783,3689105,"Crime","04/18/2017","Auto","Yes","Injury only","$19440",4,"No"
80080381,58850120,"Crime","02/23/2017","Auto","Yes","Material and injury","$40180",1,"No"
50617945,76965994,"Crime","03/09/2017","Auto","No","Material only","$1260",1,"No"
3589979,14490971,"Crime","09/19/2018","Auto","No","Material only","$1880",4,"No"
33643946,88277241,"Other causes","07/08/2017","Auto","Unknown","Injury only",NA,1,"Yes"
71464126,87386746,"Other causes","07/20/2018","Auto","No","Material only","$2260",1,"No"
19241230,55157616,"Other driver error","04/25/2017","Auto","No","Material only","$2960",1,"No"
8499165,55593844,"Other causes","07/22/2017","Auto","No","Material only","$1253.5",1,"Yes"
65264955,72556809,"Other causes","08/16/2018","Auto","Yes","Material and injury","$32300",2,"No"
66703144,45653187,"Natural causes","04/04/2018","Home","No","Material only","$1660",1,"No"
66892177,48538925,"Other causes","06/04/2017","Auto","No","Injury only","$22420",1,"No"
75262517,68724425,"Natural causes","06/10/2018","Auto","No","Material only","$2150",3,"No"
7883163,50817031,"Crime","01/26/2018","Auto","Unknown","Material only","$2460",1,"No"
88126193,16836323,"Crime","01/14/2017","Auto","No","Material only","$1140",4,"No"
57237955,72701589,"Driver error","07/20/2018","Auto","No","Material only",NA,1,"No"
26752193,88126167,"Crime","04/18/2017","Auto","Unknown","Injury only","$17050",1,"No"
94297538,50642114,"Other driver error","01/06/2018","Auto","Unknown","Injury only","$25030",1,"No"
90714815,32180678,"Other causes","08/11/2017","Auto","Unknown","Material and injury",NA,4,"No"
25647821,74155265,"Natural causes","01/01/2017","Auto","No","Material only","$2080",1,"No"
56330110,26168099,"Natural causes","05/07/2018","Auto","No","Injury only","$38590",3,"No"
87184588,804961,"Other causes","10/10/2017","Auto","No","Material and injury","$21190",1,"No"
18636027,25823839,"Driver error","10/10/2017","Auto","Unknown","Injury only","$36180",1,"No"
90591192,61745840,"Other driver error","01/01/2017","Home","No","Material and injury","$30930",1,"No"
18700750,86024944,"Other driver error","07/15/2017","Auto","Unknown","Material and injury","$47679",2,"Yes"
72789616,40080423,"Other driver error","08/30/2018","Auto","Unknown","Material only","$2440",1,"No"
19132019,14275512,"Driver error","10/09/2018","Auto","Unknown","Injury only","$28060",1,"No"
21361160,70442756,"Natural causes","01/06/2018","Auto","No","Material only","$1850",1,"No"
80894091,36829984,"Other driver error","02/22/2018","Auto","Yes","Material and injury","$24750",1,"No"
21550521,68772500,"Driver error","08/30/2018","Auto","Unknown","Material only","$2320",1,"No"
69348631,154557,"Driver error","04/10/2018","Auto","No","Injury only",NA,1,"Yes"
86624774,97640137,"Driver error","02/02/2018","Auto","Unknown","Injury only","$29600",1,"No"
2040094,49270602,"Other causes","06/17/2018","Auto","No","Material only","$1790",1,"No"
93354997,25021031,"Other causes","01/06/2018","Auto","Yes","Injury only","$31270",1,"No"
61761215,2590748,"Other driver error","10/03/2018","Auto","Unknown","Material and injury","$30530",2,"No"
17871003,98905793,"Other driver error","09/19/2018","Auto","Unknown","Material only","$3139.5",3,"Yes"
90504501,39495715,"Driver error","08/31/2017","Auto","No","Material only","$2470",1,"No"
23636125,64840478,"Other driver error","01/01/2017","Auto","Unknown","Material and injury","$17290",1,"No"
73972734,30541131,"Other driver error","08/11/2017","Home","Unknown","Material only","$1570",1,"No"
2322078,51503228,"Driver error","12/17/2017","Auto","Unknown","Injury only","$14330",3,"No"
94870378,57959733,"Other driver error","07/22/2017","Auto","No","Material only","$2530",3,"No"
46572741,82415154,"Other driver error","06/11/2017","Auto","No","Material and injury","$15240",1,"No"
50960913,67861420,"Other causes","02/15/2018","Auto","No","Material only","$1880",1,"No"
91841652,16811546,"Crime","08/10/2018","Auto","Unknown","Injury only","$37200",1,"No"
73800450,74840885,"Crime","03/14/2018","Home","Unknown","Material only","$2060",5,"No"
14457951,95719884,"Crime","05/22/2017","Auto","Unknown","Material only","$1020",1,"No"
82692173,22856223,"Other causes","04/12/2017","Auto","No","Material and injury","$40660",1,"No"
2262550,26965990,"Other causes","02/23/2017","Auto","Unknown","Material only","$2310",1,"No"
91210035,48447568,"Driver error","10/24/2017","Auto","No","Material and injury","$15920",1,"No"
19333178,16102401,"Driver error","08/18/2017","Home","Yes","Material only","$2710",1,"No"
36685947,26448215,"Natural causes","02/03/2017","Auto","No","Material only","$2290",1,"No"
84933468,40922910,"Other driver error","02/03/2017","Auto","No","Material only","$1180",4,"No"
61672806,43293983,"Other causes","08/11/2017","Auto","No","Material only","$3059",1,"Yes"
1189987,51195864,"Other driver error","09/20/2017","Auto","Unknown","Material only","$1630",2,"No"
43722644,36395486,"Other causes","01/07/2017","Home","No","Material only","$3335",3,"Yes"
24499353,32850276,"Natural causes","10/09/2018","Home","No","Material only","$1580",1,"No"
70086627,94041088,"Natural causes","12/10/2017","Home","Unknown","Material only","$2645",1,"Yes"
97233183,90718924,"Other causes","01/21/2017","Home","No","Material and injury","$27560",1,"No"
70332189,51278451,"Other driver error","03/01/2018","Auto","Unknown","Material and injury","$20660",1,"No"
3883874,16868327,"Driver error","01/14/2017","Auto","No","Material only","$1400",1,"No"
94714143,32269248,"Other driver error","07/07/2018","Auto","Yes","Injury only","$30350",1,"No"
22295924,35410919,"Crime","06/04/2017","Auto","No","Material only","$1740",3,"No"
80976947,20716946,"Other driver error","03/21/2018","Auto","No","Material and injury","$21830",1,"No"
93075008,90102508,"Natural causes","03/28/2018","Auto","No","Material only","$1280",1,"No"
46968995,40744509,"Other causes","06/25/2017","Auto","No","Material and injury","$34770",4,"No"
23840141,51460517,"Other causes","06/18/2017","Auto","Unknown","Material only","$1391.5",1,"Yes"
5694962,9677945,"Other causes","09/26/2018","Auto","No","Material only","$1520",1,"No"
3485777,34297743,"Natural causes","07/28/2017","Auto","No","Material only","$1700",1,"No"
49735712,17682060,"Crime","10/30/2018","Home","Unknown","Material and injury","$17020",1,"No"
718760,29750601,"Other driver error","10/24/2017","Auto","Unknown","Injury only","$31980",1,"No"
81849361,97698815,"Natural causes","02/17/2017","Auto","Unknown","Material only","$1860",1,"No"
19639145,28920170,"Crime","11/13/2017","Auto","No","Material and injury","$41365.5",1,"Yes"
6535473,55572419,"Other causes","05/09/2017","Auto","Yes","Injury only","$27520",1,"No"
61374372,77219712,"Other causes","01/01/2017","Auto","No","Material and injury","$20200",1,"No"
24759210,39286853,"Other driver error","10/03/2018","Auto","Unknown","Injury only","$35830",1,"No"
6795457,47226965,"Driver error","09/07/2017","Auto","No","Material only","$2600",4,"No"
27087847,68757979,"Natural causes","10/31/2017","Auto","No","Material only","$2410",1,"No"
93818470,69956308,"Natural causes","01/13/2018","Auto","Yes","Material only","$3312",4,"Yes"
65784642,47603757,"Driver error","04/24/2018","Auto","No","Material only","$2980",1,"No"
98203403,83534717,"Natural causes","04/12/2017","Auto","No","Material only","$1680",1,"No"
52377605,40480522,"Driver error","10/30/2018","Auto","Unknown","Material and injury","$26310",1,"No"
79350008,86597605,"Driver error","09/27/2017","Auto","No","Material and injury","$37400",1,"No"
35620656,7829022,"Driver error","11/13/2017","Auto","No","Material only","$2320",1,"No"
95022138,77985379,"Other driver error","07/01/2017","Auto","Yes","Material and injury","$27610",2,"No"
24834777,2826434,"Driver error","04/25/2017","Home","No","Injury only","$22100",1,"No"
94426134,16548727,"Other causes","11/06/2017","Auto","Yes","Material only","$1080",3,"No"
67394855,94267140,"Other driver error","04/12/2017","Auto","No","Material only","$1590",1,"No"
15859475,5637733,"Crime","10/10/2017","Auto","Unknown","Material only","$2170",1,"No"
7238381,684748,"Other driver error","07/14/2018","Auto","No","Material only","$2920",2,"No"
27131115,65047878,"Natural causes","02/03/2017","Auto","Unknown","Material only","$1679",4,"Yes"
63175077,84614509,"Driver error","06/23/2018","Home","Unknown","Injury only","$18308",1,"Yes"
4869668,93766634,"Other causes","06/23/2018","Auto","No","Injury only","$16940",1,"No"
29078722,68712439,"Other driver error","06/17/2018","Home","No","Material only","$1600",1,"No"
62679663,88785895,"Driver error","02/22/2018","Auto","Unknown","Material and injury","$39307",1,"Yes"
29981557,33924586,"Natural causes","04/04/2018","Auto","Unknown","Material and injury","$28750",1,"No"
59259291,1852176,"Driver error","04/17/2018","Auto","Unknown","Material only","$1510",1,"No"
35839635,58107776,"Other driver error","04/25/2017","Auto","Yes","Material only","$1030",1,"No"
46356995,30743608,"Other causes","03/22/2017","Auto","No","Material only","$2714",1,"Yes"
44524224,50530333,"Crime","06/04/2017","Auto","Unknown","Material only","$2415",3,"Yes"
56720636,29282358,"Other driver error","01/13/2018","Auto","No","Material and injury","$39280",2,"No"
5854580,55375167,"Crime","04/05/2017","Home","Unknown","Material only","$1403",3,"Yes"
24230132,37692329,"Driver error","08/16/2018","Auto","No","Material and injury","$34300",1,"No"
13479108,2753882,"Natural causes","07/01/2017","Auto","No","Material only","$2650",1,"No"
63532473,88219691,"Other causes","09/14/2017","Auto","No","Injury only","$23960",1,"No"
25246596,67722830,"Driver error","08/04/2017","Auto","No","Material only","$1529.5",3,"Yes"
31574986,11321295,"Driver error","02/03/2017","Auto","No","Material only","$2460",2,"No"
6267263,28502965,"Natural causes","10/10/2017","Auto","No","Material only","$1620",1,"No"
99444302,51782731,"Other driver error","02/03/2017","Home","Unknown","Material only","$2790",1,"No"
75651365,76395629,"Other causes","01/27/2017","Auto","No","Material only","$1210",1,"No"
18499217,20960664,"Natural causes","08/10/2018","Auto","Yes","Injury only","$19676.5",1,"Yes"
56848907,79683883,"Other driver error","09/07/2017","Auto","No","Material and injury","$27266.5",1,"Yes"
30755644,33388786,"Other causes","04/18/2017","Auto","Yes","Injury only","$33590",2,"No"
2741337,52361935,"Natural causes","10/17/2017","Auto","Yes","Material only","$2840",1,"No"
86070727,97038550,"Other driver error","02/22/2018","Home","Unknown","Material and injury","$16790",1,"No"
2913034,25911554,"Natural causes","06/03/2018","Auto","No","Material only","$1322.5",3,"Yes"
74906328,43834942,"Natural causes","07/01/2017","Auto","Yes","Material and injury","$19900",1,"No"
95114913,17242900,"Crime","11/13/2017","Auto","No","Material only","$2440",1,"No"
34621474,54094880,"Other driver error","02/17/2017","Auto","No","Material only","$1529.5",1,"Yes"
52223434,59809467,"Other driver error","05/28/2018","Auto","Unknown","Material only",NA,NA,"Yes"
93028492,62204138,"Driver error","10/31/2017","Auto","Unknown","Material only","$2691",1,"Yes"
76384782,93993324,"Driver error","06/04/2017","Auto","No","Material only","$3128",1,"Yes"
79219792,84995304,"Other driver error","08/30/2018","Home","Unknown","Material only","$3036",1,"Yes"
25014071,70955654,"Crime","10/04/2017","Home","No","Material only","$1173",1,"Yes"
86017636,43274276,"Other driver error","02/15/2018","Auto","No","Material only","$1200",4,"No"
45535504,23236713,"Driver error","03/14/2018","Auto","Yes","Injury only","$29960",1,"No"
80169462,76501371,"Driver error","02/15/2018","Auto","Unknown","Material only","$1970",1,"No"
42474249,56554262,"Other causes","10/09/2018","Auto","No","Material only","$2090",1,"No"
4567648,48123202,"Other driver error","08/31/2017","Auto","No","Material only","$2640",NA,"No"
99775483,93915431,"Other causes","10/30/2018","Auto","No","Material and injury","$42124.5",1,"Yes"
8322480,38560100,"Other driver error","03/16/2017","Auto","No","Injury only","$21330",3,"No"
83960449,31544049,"Driver error","11/27/2017","Auto","Unknown","Material only","$1817",1,"Yes"
66563034,68615086,"Driver error","07/07/2018","Auto","No","Material and injury","$17670",1,"No"
95437929,55535045,"Driver error","04/05/2017","Auto","No","Material only","$1110",1,"No"
94981713,17988592,"Other causes","07/28/2017","Auto","No","Material and injury","$32407",1,"Yes"
59593960,4883962,"Driver error","07/15/2017","Auto","Yes","Material only","$1460",1,"No"
4367748,33812279,"Other causes","05/22/2017","Auto","Yes","Injury only","$41779.5",1,"Yes"
96241162,81854173,"Other driver error","05/09/2017","Auto","Unknown","Material only","$1850",1,"No"
11682102,24579061,"Natural causes","01/07/2017","Auto","No","Material only","$1770",1,"No"
26104084,29478976,"Crime","05/21/2018","Auto","No","Material only","$1160",1,"No"
38641457,10462042,"Other causes","08/03/2018","Home","No","Material only","$2410",1,"No"
51316495,52265112,"Other driver error","06/11/2017","Auto","No","Material only","$1520",2,"No"
68533229,53900680,"Other causes","03/29/2017","Home","Yes","Material and injury","$33900",2,"No"
70210720,69784779,"Other driver error","05/21/2018","Auto","Yes","Material and injury","$28740",1,"No"
38508652,26810768,"Other causes","07/01/2017","Auto","No","Material and injury","$23980",3,"No"
10080081,82637319,"Other causes","10/31/2017","Auto","Unknown","Material only","$1184.5",1,"Yes"
6515806,69546065,"Crime","06/18/2017","Auto","Unknown","Material only","$2104.5",1,"Yes"
2056210,67427492,"Driver error","05/29/2017","Auto","No","Material only","$1040",1,"No"
2581621,18213216,"Other causes","09/12/2018","Auto","Unknown","Material and injury","$21942",2,"Yes"
25688619,98204394,"Driver error","02/10/2017","Home","Unknown","Material only","$1550",6,"No"
43680480,63413368,"Driver error","06/30/2018","Auto","No","Material only","$1740",2,"No"
14698666,91136854,"Other driver error","01/06/2018","Auto","No","Material only","$2240",4,"No"
18917146,11187680,"Other driver error","03/29/2017","Auto","Unknown","Material only","$2440",1,"No"
82224237,88205075,"Other causes","03/16/2017","Auto","Unknown","Injury only","$16460",1,"No"
52339239,40728123,"Other causes","02/10/2017","Auto","No","Material only","$2590",1,"No"
9476314,65176092,"Other causes","01/01/2017","Auto","No","Material and injury","$37290",3,"No"
56133273,84229777,"Natural causes","08/11/2017","Auto","No","Material only","$3128",1,"Yes"
79752814,76093960,"Other causes","05/29/2017","Auto","Unknown","Material only","$2700",2,"No"
71517851,36994344,"Natural causes","07/27/2018","Auto","No","Material only","$2280",1,"No"
29519925,68043300,"Other driver error","03/21/2018","Auto","Unknown","Material only","$2656.5",1,"Yes"
2980099,28901669,"Crime","02/02/2018","Auto","Yes","Injury only","$35178.5",1,"Yes"
59959117,86916099,"Other driver error","04/05/2017","Auto","No","Injury only","$19390",1,"No"
87350000,29826894,"Other driver error","11/06/2017","Auto","No","Material only","$2730",5,"No"
87230026,79637467,"Other causes","02/17/2017","Auto","Yes","Injury only","$16700",1,"No"
9588683,36632227,"Other driver error","03/09/2017","Auto","Unknown","Material only","$2886.5",1,"Yes"
