"id","wrkstat","marital","childs","age","educ","paeduc","maeduc","speduc","degree","sex","race","born","parborn","granborn","income","rincome","polviews","cappun","postlife","happy","hapmar","owngun","news","tvhours","howpaid","ethnic","eth1","eth2","eth3","confinan","conbus","coneduc","conpress","conmedic","contv","agecat","childcat","news1","news2","news3","news4","news5","car1","car2","car3"
50,"School","Never married",0,25,16,16,13,NA,"Bachelor","Male","White","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Moderate","Favor","Yes","Very happy",NA,NA,"Never",0,NA,NA,"Scotland","Germany",NA,"Hardly any","Hardly any","Hardly any","Hardly any","A great deal","Hardly any","25 to 34","None","No","No","No","Yes","Yes","American","Japanese",NA
51,"Working full time","Married",1,38,14,16,16,12,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Liberal","Favor","Yes","Pretty happy","Pretty happy","No",NA,5,NA,"Ireland","Ireland",NA,NA,"Only some","Hardly any","Only some","Only some","A great deal","Hardly any","35 to 44","1-2","No","No","Yes","No","No","German",NA,NA
52,"Working full time","Married",0,30,16,16,16,NA,"Bachelor","Male","Other","No","Neither in U.S.",4,"$15000 - 19999","$10000 - 14999","Slightly liberal","Oppose","Yes","Pretty happy","Pretty happy","No","Once a week",0,"Other pay rate","Mexico","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","None","No","Yes","No","Yes","Yes","German","Swedish","Japanese"
53,"Working full time","Never married",1,24,13,NA,12,NA,"High school","Male","Black","Yes","Both in U.S.",0,"$20000 - 24999","$20000 - 24999","Liberal","Oppose","Yes","Not too happy",NA,"No","Few times a week",5,"Weekly wage","Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Less than 25","1-2","No","No","Yes","No","No","Japanese","American",NA
54,"Working full time","Married",0,41,14,12,12,11,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Moderate","Favor","Yes","Very happy","Very happy",NA,"Less than once a week",5,"Hourly wage",NA,NA,NA,NA,"A great deal","Only some","Only some","Only some","Only some","Hardly any","35 to 44","None","No","No","Yes","No","No","American","German","American"
55,"Working full time","Separated",2,28,13,NA,NA,NA,"High school","Male","White","Yes","Both in U.S.",2,"$20000 - 24999","$20000 - 24999",NA,NA,"No","Pretty happy",NA,"No","Less than once a week",6,"Hourly wage","Mexico","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","No","Yes","No","No","American","Korean",NA
56,"Working part-time","Never married",0,60,20,8,13,NA,"Bachelor","Male","White","Yes","Both in U.S.",0,"$10000 - 14999","$10000 - 14999","Slightly conservative","Oppose",NA,"Not too happy",NA,"No",NA,NA,"Other pay rate","Germany","Germany",NA,NA,"Only some","Only some","Only some","A great deal","A great deal","Only some","55 to 64","None","No","No","No","No","No","Swedish","American","German"
57,"Working full time","Never married",0,47,14,14,8,NA,"High school","Female","White","Yes","Both in U.S.",4,"$25000 or more","$25000 or more","Slightly conservative","Favor","Yes","Pretty happy",NA,NA,"Few times a week",2,"Monthly salary","Italy","Italy",NA,NA,"Only some","Only some","Hardly any","Hardly any","Only some","Hardly any","45 to 54","None","No","No","No","Yes","Yes","Swedish","Swedish","Japanese"
58,"Working full time","Separated",1,35,14,0,6,NA,"Junior college","Male","White","No","Neither in U.S.",4,"$7000 TO 7999","$7000 TO 7999","Conservative","Oppose","Yes","Very happy",NA,"No",NA,4,NA,"Mexico","Mexico",NA,NA,"A great deal","A great deal","A great deal","A great deal","Only some","A great deal","35 to 44","1-2","No","No","Yes","No","No","American","American","American"
59,"Working full time","Divorced",2,37,16,14,12,NA,"Bachelor","Female","White","Yes","Father only",2,"$25000 or more","$25000 or more","Moderate",NA,"Yes","Very happy",NA,"No","Few times a week",NA,"Other pay rate","Germany","Germany",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","No","No","No","No","Other","American","American"
60,"Working part-time","Widowed",5,81,6,6,6,NA,"LT High school","Female","White","Yes","Both in U.S.",0,NA,NA,"Slightly conservative","Oppose","Yes","Very happy",NA,NA,"Never",1,"Hourly wage","Netherlands","Netherlands",NA,NA,"Only some",NA,"Hardly any",NA,"Only some","Hardly any","65 or older","5 or more","No","No","No","Yes","Yes","American",NA,NA
61,"Working full time","Never married",0,38,19,17,15,NA,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Moderate",NA,"Yes","Pretty happy",NA,"Yes","Few times a week",3,"Other pay rate","Scotland","Scotland","Ireland","England and Wales",NA,NA,NA,NA,NA,NA,"35 to 44","None","No","No","Yes","No","Yes","German","American","Swedish"
62,"Working full time","Never married",3,47,11,7,3,NA,"LT High school","Female","Black","Yes","Both in U.S.",0,"$10000 - 14999","$10000 - 14999","Moderate",NA,NA,"Pretty happy",NA,"No","Once a week",NA,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","3-4","No","Yes","No","No","No","Japanese","American","Japanese"
63,"Retired","Widowed",8,76,11,NA,NA,NA,"LT High school","Female","Black","Yes","Both in U.S.",0,"$8000 TO 9999",NA,"Moderate",NA,"Yes","Pretty happy",NA,"No","Every day",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","5 or more","Yes","No","Yes","No","No","American",NA,NA
64,"Retired","Divorced",0,86,7,NA,11,NA,"LT High school","Female","Black","Yes","Both in U.S.",NA,"$6000 TO 6999",NA,"Conservative","Oppose",NA,"Very happy",NA,"No",NA,NA,NA,"American Indian","American Indian",NA,NA,"A great deal",NA,"A great deal","Only some","A great deal","A great deal","65 or older","None","No","No","No","No","No","American","American","Japanese"
65,"Retired","Widowed",5,73,11,8,8,NA,"LT High school","Female","Black","Yes","Both in U.S.",0,"$15000 - 19999",NA,"Slightly conservative","Oppose",NA,"Not too happy",NA,"Yes",NA,NA,NA,"American Indian","Spain","Ireland","Africa","A great deal","Only some","Only some","Hardly any","Only some","A great deal","65 or older","5 or more","No","No","No","No","No","German","Other","American"
66,"Retired","Widowed",4,69,11,NA,12,NA,"LT High school","Female","Black","Yes","Both in U.S.",0,"$6000 TO 6999",NA,"Extremely liberal","Oppose",NA,"Pretty happy",NA,"No",NA,6,NA,"Africa","Africa",NA,NA,"Only some","Only some","Hardly any","Only some","Hardly any","Only some","65 or older","3-4","No","No","Yes","No","No","American","Korean","Japanese"
67,"Keeping house","Never married",2,50,6,NA,12,NA,"LT High school","Female","Other","Yes","Both in U.S.",0,"$10000 - 14999",NA,"Liberal","Favor","Yes","Pretty happy",NA,NA,"Every day",5,NA,"American Indian","American Indian","Ireland","Africa","Only some","Only some","Only some",NA,"Only some","Hardly any","45 to 54","1-2","Yes","No","Yes","No","No","Korean","American",NA
68,"Working full time","Never married",2,29,14,NA,10,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$8000 TO 9999","$8000 TO 9999","Liberal",NA,"Yes","Very happy",NA,"No","Once a week",6,"Hourly wage","American Indian","American Indian",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","Yes","Yes","No","No","Japanese","Japanese","Japanese"
69,"Working full time","Separated",2,32,14,14,14,NA,"High school","Male","Black","Yes","Both in U.S.",0,"$20000 - 24999","$20000 - 24999","Extremely liberal","Oppose","Yes","Pretty happy",NA,"No",NA,3,NA,"Africa","Africa",NA,NA,"Only some","A great deal","Only some","Only some","A great deal","Hardly any","25 to 34","1-2","No","No","Yes","No","No","Korean",NA,NA
70,"Keeping house","Separated",1,74,12,8,8,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$8000 TO 9999",NA,"Slightly conservative","Oppose","Yes","Pretty happy",NA,"No","Every day",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","1-2","Yes","No","Yes","No","No","American",NA,NA
71,"Working full time","Married",2,34,14,12,12,14,"Junior college","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Liberal","Oppose",NA,"Pretty happy","Very happy",NA,"Once a week",1,NA,"Africa","Africa",NA,NA,"Hardly any","Hardly any","Hardly any","Hardly any","Hardly any","Hardly any","25 to 34","1-2","No","Yes","No","Yes","Yes","Other","American",NA
72,"Working full time","Married",3,48,20,8,10,16,"Graduate","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Oppose",NA,"Pretty happy","Pretty happy",NA,"Less than once a week",3,"Weekly wage","American only","American only",NA,NA,"Only some","Only some","Only some","Only some","Only some","Hardly any","45 to 54","3-4","No","No","Yes","No","Yes","German","Other","American"
73,"Working full time","Married",3,52,16,1,10,14,"Graduate","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Very happy","Very happy","Yes",NA,NA,"Annual salary","American only","American only",NA,NA,"Hardly any","Only some","Only some","Only some","Only some","Hardly any","45 to 54","3-4","No","No","No","No","No","American","Korean","Japanese"
74,"Working full time","Never married",0,51,14,6,5,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal",NA,"Yes","Very happy",NA,"No","Less than once a week",11,"Hourly wage","Other","Other",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","None","No","No","Yes","No","No","American",NA,NA
75,"Working full time","Married",2,25,14,14,12,12,"High school","Female","Black","Yes","Both in U.S.",0,"$10000 - 14999","$5000 TO 5999","Conservative","Oppose",NA,"Pretty happy","Pretty happy","No","Less than once a week",NA,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","No","No","No","No","American","Korean","American"
76,"Retired","Widowed",2,64,12,8,9,NA,"High school","Male","White","Yes","Both in U.S.",NA,"$20000 - 24999",NA,"Moderate","Favor",NA,"Pretty happy",NA,"Yes",NA,NA,NA,NA,"Scotland","Ireland","Germany","Only some","Only some","Only some","Only some","Only some","Only some","55 to 64","1-2","No","No","No","No","No","American",NA,NA
77,"Working full time","Separated",3,44,12,16,12,NA,"High school","Female","White","Yes","Both in U.S.",NA,"$25000 or more","$20000 - 24999","Liberal","Favor","No","Pretty happy",NA,"No","Every day",4,"Annual salary","Other Canada","Ireland","Other Canada",NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","Yes","No","Yes","No","No","American","German","American"
