"id","insert","dollars"
75865,"Standard",1620.34014098342
76244,"New Promotion",2204.62757779373
76656,"New Promotion",1730.4101376253
76754,"Standard",1630.00822650662
77389,"New Promotion",947.655596318602
77881,"New Promotion",1516.43329953119
78180,"Standard",1529.84988708031
78520,"New Promotion",1609.6893014544
79386,"New Promotion",918.345962769737
79647,"Standard",1807.7542930801
79723,"Standard",1639.76571534112
79945,"New Promotion",1989.09968752036
80037,"New Promotion",1808.37783869462
80345,"New Promotion",1153.74785619886
80855,"Standard",810.797349505653
81231,"New Promotion",1745.6432469395
81304,"New Promotion",1008.23763510697
81647,"Standard",1409.09313962492
81659,"Standard",1831.91268109237
81805,"New Promotion",2228.05490919734
82140,"Standard",1634.69340573539
82412,"New Promotion",2138.00477282762
82828,"New Promotion",763.101849611982
84242,"New Promotion",1598.51799343743
84456,"Standard",2047.49133079636
84634,"Standard",1685.44059952811
85074,"New Promotion",1695.36321380062
85100,"New Promotion",745.650446846432
85775,"Standard",1840.54762464143
86204,"Standard",1603.48021071425
86317,"Standard",1475.97874999769
86911,"Standard",1272.25240462318
87488,"Standard",1250.37730166981
87636,"Standard",1474.77940041547
87695,"New Promotion",2158.61298748445
88480,"Standard",2064.88679285355
88515,"Standard",2030.86943552838
88541,"Standard",1214.5558046832
88601,"New Promotion",1540.81204524261
89927,"Standard",1712.72740345299
90075,"New Promotion",2315.43222069058
90169,"Standard",1034.57599169998
90219,"Standard",1451.89127612485
90396,"New Promotion",1873.20660807264
91195,"New Promotion",1645.3952642967
91294,"Standard",1623.61212788316
91462,"New Promotion",895.712927342216
91806,"Standard",2001.76838093656
92146,"New Promotion",1020.24372949167
92214,"Standard",1566.8760772539
92499,"Standard",1414.08680202625
92631,"Standard",1448.89397102766
92795,"New Promotion",1770.01743577785
92851,"New Promotion",2191.50319343344
93070,"New Promotion",1778.75806391577
93113,"Standard",2200.86603001293
93205,"Standard",1587.34189625409
93241,"New Promotion",1201.45770068089
94014,"New Promotion",1781.38623598366
94394,"New Promotion",1562.00923874128
94751,"New Promotion",2048.8441815131
94977,"Standard",1121.07483804934
95331,"New Promotion",2444.14426163905
95552,"Standard",1252.98406318056
95899,"New Promotion",1584.14055197603
96063,"Standard",1736.85110641188
96185,"New Promotion",1552.16998913751
96308,"Standard",1692.65761600444
96353,"Standard",1422.00533404915
96379,"New Promotion",1975.27139061099
97355,"Standard",1407.98402286039
97990,"New Promotion",1406.46826276147
98218,"Standard",1927.34607077329
98249,"Standard",1660.0365605926
98865,"Standard",1629.30315482122
98882,"New Promotion",1443.44565994982
99250,"New Promotion",2074.11080534081
99526,"New Promotion",1739.00700650497
100164,"Standard",1140.47967296393
100359,"Standard",1715.45335899548
100996,"Standard",1567.93821999371
101160,"Standard",1467.4340907182
101320,"Standard",1713.90605069737
101492,"Standard",770.014332106013
102034,"New Promotion",2138.09362451254
103208,"Standard",1791.74398170356
103878,"New Promotion",1960.24609264697
103952,"New Promotion",2080.13390611553
104019,"New Promotion",1913.87720440218
104302,"Standard",1426.90990405323
104396,"New Promotion",1101.53802193711
104503,"Standard",1201.10475773751
104546,"New Promotion",1358.63834361757
104566,"New Promotion",1666.15420351384
104589,"Standard",2007.40267033723
104913,"Standard",1256.18857358027
105338,"Standard",1689.84653862233
105360,"New Promotion",1585.54839069969
105508,"New Promotion",860.143869953856
105644,"Standard",1603.74062137124
105652,"New Promotion",1736.45988596867
105912,"Standard",1711.34881871591
106118,"Standard",1634.599976715
106170,"New Promotion",1831.87555018313
106180,"New Promotion",1520.60173824706
106544,"Standard",1278.99939891654
107260,"Standard",817.892111534846
107262,"New Promotion",2166.17638963416
107400,"Standard",2303.62918934949
107563,"Standard",1109.49257977043
108107,"New Promotion",1712.42050265087
108368,"New Promotion",2139.88631811104
108615,"New Promotion",1390.33964634212
108806,"Standard",2122.5547563344
108846,"New Promotion",1576.91161433284
109555,"Standard",2072.08294061185
109862,"Standard",1414.35170241912
109959,"New Promotion",2018.58908331078
110067,"Standard",1690.10438719571
110557,"New Promotion",2179.41371702189
111467,"New Promotion",1357.85475215307
111587,"Standard",1471.36519145676
112265,"New Promotion",1767.49981923652
112367,"New Promotion",2015.51561964978
112481,"New Promotion",1834.73043183954
112539,"New Promotion",1925.46957995419
112620,"Standard",1857.23251864634
113027,"Standard",1061.71295142396
113120,"New Promotion",1788.28645041269
113396,"New Promotion",1531.28898576312
113586,"New Promotion",1701.31414350965
113684,"New Promotion",1929.74931954978
113910,"Standard",1484.0915196506
114128,"New Promotion",1280.41566432341
114282,"New Promotion",1498.07743258552
114347,"Standard",1627.77990855762
114874,"Standard",1718.78857685227
115318,"Standard",875.556703376039
115409,"Standard",1790.23962861021
115537,"Standard",1386.57157816074
116086,"Standard",1560.18116045284
116121,"New Promotion",1049.51897484748
116182,"Standard",1770.9496607902
116479,"New Promotion",1917.88946244751
117191,"New Promotion",1820.72781135231
117444,"New Promotion",1579.87483383317
117456,"Standard",1693.09436281727
117654,"New Promotion",1741.37339490352
118011,"Standard",1563.5814393866
118083,"New Promotion",1345.79702500745
118397,"Standard",1527.99787881783
118404,"Standard",1225.97195666429
118515,"New Promotion",2019.61131057721
118649,"New Promotion",1429.15462806402
119217,"Standard",1369.18911613365
119391,"Standard",2214.43418430857
119535,"Standard",1596.62055374307
119716,"New Promotion",1829.78757648001
119736,"New Promotion",1938.81163344907
120856,"Standard",1182.48290116652
121130,"Standard",1325.24158690541
121254,"Standard",1464.75977850727
121363,"New Promotion",1406.31110102905
121566,"New Promotion",1810.79864094897
121611,"Standard",2354.05859668845
121622,"New Promotion",1442.1947845324
122076,"New Promotion",1837.92101209989
122265,"Standard",1782.72554215664
122331,"New Promotion",1451.36497487809
122401,"Standard",1732.60617659817
122843,"Standard",967.52277451565
122908,"New Promotion",1686.2895239896
122966,"Standard",1893.0244838793
123085,"New Promotion",2196.82945254543
123513,"Standard",1448.62748078308
123593,"Standard",1846.56410057553
123824,"Standard",1443.14022663009
124029,"New Promotion",1500.23110800342
124129,"Standard",1931.16918803557
124138,"New Promotion",1578.46054315966
124247,"Standard",1279.99236700164
124444,"Standard",1441.89289277959
124463,"New Promotion",2637.88419654474
124573,"Standard",1171.05239620806
124783,"Standard",1119.81787477093
124795,"Standard",1544.83758790984
125058,"New Promotion",2007.30828648564
125105,"Standard",2711.72383563221
125416,"Standard",1624.64393169428
125716,"New Promotion",1892.59546795513
126180,"New Promotion",1768.33524587247
126217,"New Promotion",1384.10080381884
126362,"Standard",1501.73782276272
126552,"Standard",1534.78879408738
126831,"Standard",1459.86110555924
127429,"New Promotion",1612.07211371475
127535,"New Promotion",1399.90054202002
127695,"Standard",1577.33170985621
128093,"Standard",2158.36391207601
128225,"New Promotion",1016.12545543472
128993,"Standard",1336.51530659606
129531,"New Promotion",2227.46438494498
129634,"New Promotion",2007.54175565815
129779,"Standard",1330.23317857539
130128,"New Promotion",2000.05079990886
130163,"New Promotion",1513.06013409877
130204,"New Promotion",1020.75794260351
130255,"Standard",1919.85630434152
130583,"Standard",1863.01481421061
130682,"Standard",1295.01218301264
