AccountId,AccountName,Region,Division,City,State,Tier,Month,Sales2015,Sales2016,Units2015,Units2016,TargetAchevied2015,TargetAchevied2016
2441,Account21,East,REVOLUTION,BRUNSWICK,NJ,High,Feb,2939.08,0,1,0,1.22,1.04
2443,Account22,East,REVOLUTION,BRUNSWICK,NJ,Med,Apr,0,3526.89,0,1,1.22,1.54
2443,Account22,East,REVOLUTION,BRUNSWICK,NJ,Med,Sep,7053.78,14107.56,2,4,1.22,1.42
2444,Account23,East,REVOLUTION,PLAINFIELD,NJ,Low,Nov,4418,0,2,0,1.36,1.02
2444,Account23,East,REVOLUTION,PLAINFIELD,NJ,Low,Apr,4418,4418,2,2,1.4,1.36
2445,Account24,East,REVOLUTION,PLAINFIELD,NJ,High,Dec,0,2631.31,0,1,0.9,1.24
2445,Account24,East,REVOLUTION,PLAINFIELD,NJ,High,Mar,2247.38,0,1,0,0.78,1.4
2446,Account25,East,BIG APPLE,PATERSON,NJ,Med,Oct,0,4830.5,0,2,1.1,1.56
2446,Account25,East,BIG APPLE,PATERSON,NJ,Med,Oct,10983.92,5210.64,4,2,1.2,1.4
2447,Account26,East,REVOLUTION,PLAINFIELD,NJ,High,Dec,0,15631.92,0,6,1.2,1.3
2447,Account26,East,REVOLUTION,PLAINFIELD,NJ,High,Jan,11683.62,46419.18,4,18,0.76,1.39
2448,Account27,East,REVOLUTION,PLAINFIELD,NJ,High,Feb,21967.84,0,8,0,1.17,1.07
2448,Account27,East,REVOLUTION,PLAINFIELD,NJ,High,May,4690.64,15631.92,2,6,0.97,1.38
2448,Account27,East,REVOLUTION,PLAINFIELD,NJ,High,Apr,21967.84,34201.08,8,13,0.81,1.36
2468,Account35,East,REVOLUTION,TRENTON,NJ,High,May,7925.13,0,3,0,1.38,1.48
2468,Account35,East,REVOLUTION,TRENTON,NJ,High,Mar,0,12653,0,5,1.27,1.53
2468,Account35,East,REVOLUTION,TRENTON,NJ,High,Oct,13208.55,17714.2,5,7,1,0.93
2470,Account36,East,REVOLUTION,TRENTON,NJ,High,Jul,0,2209,0,1,1.23,1.38
2470,Account36,East,REVOLUTION,TRENTON,NJ,High,Nov,0,4418,0,2,0.7,1.07
2471,Account37,East,REVOLUTION,TRENTON,NJ,Med,Mar,0,5457.54,0,2,0.91,1.4
2472,Account38,East,REVOLUTION,TRENTON,NJ,High,Feb,11786.96,0,4,0,1.14,1.01
2472,Account38,East,REVOLUTION,TRENTON,NJ,High,Aug,20443.86,22371.43,9,10,0.75,1.43
2473,Account39,East,REVOLUTION,BRUNSWICK,NJ,Med,Apr,0,3128.34,0,1,0.76,1.43
2473,Account39,East,REVOLUTION,BRUNSWICK,NJ,Med,Aug,3128.34,3128.34,1,1,1.36,1.37
2475,Account40,East,REVOLUTION,PLAINFIELD,NJ,Med,Mar,4153.89,0,1,0,1.18,1.29
2476,Account41,East,BIG APPLE,JERSEY CITY,NJ,High,Jun,0,3302.13,0,1,0.94,1.35
2476,Account41,East,BIG APPLE,JERSEY CITY,NJ,High,Aug,9385.02,19812.78,3,6,1.13,1.29
2478,Account42,East,REVOLUTION,PLAINFIELD,NJ,High,Sep,0,3475.93,0,1,1.29,1.46
2480,Account43,East,REVOLUTION,BRUNSWICK,NJ,High,Dec,6293.76,0,4,0,1.26,1.36
2480,Account43,East,REVOLUTION,BRUNSWICK,NJ,High,Aug,9577.96,0,6,0,1.35,1.2
2480,Account43,East,REVOLUTION,BRUNSWICK,NJ,High,Feb,0,4148.785,0,2.6667,0.97,1.07
2480,Account43,East,REVOLUTION,BRUNSWICK,NJ,High,Oct,15128.945,21414.825,13.1667,11.8334,1.37,0.99
2480,Account43,East,REVOLUTION,TRENTON,NJ,High,Nov,6293.76,0,4,0,1.36,1.33
2480,Account43,East,REVOLUTION,TRENTON,NJ,High,Jul,9577.96,0,6,0,0.78,1.01
2480,Account43,East,REVOLUTION,TRENTON,NJ,High,Jan,0,4148.785,0,2.6667,0.88,1.04
2480,Account43,East,REVOLUTION,TRENTON,NJ,High,Aug,15128.945,21414.825,13.1667,11.8334,1.28,0.95
2481,Account44,East,BIG APPLE,MANHATTAN,NY,Med,Nov,11339.32,8771.04,4,3,0.86,1.16
2494,Account45,East,BIG APPLE,NEW YORK CITY N,NY,High,Mar,3087.99,8110.06,1,3,1.41,0.97
2494,Account45,East,BIG APPLE,NEW YORK CITY N,NY,High,Aug,15533.5,60660.35,6,23,0.99,0.97
2496,Account46,East,BIG APPLE,NEW YORK CITY N,NY,Low,Jan,14286.93,9920.62,5,3,1.18,1.23
2503,Account47,East,BIG APPLE,MANHATTAN,NY,High,Sep,7103.16,0,2,0,0.89,1.13
2503,Account47,East,BIG APPLE,MANHATTAN,NY,High,Jun,17556.87,26804.4,5,8,0.86,1.5
2508,Account48,East,BIG APPLE,BROOKLYN,NY,Med,Feb,0,4803.64,0,2,1.35,0.97
2508,Account48,East,BIG APPLE,BROOKLYN,NY,Med,Jul,13644.46,12609.13,5,5,1.15,0.98
2510,Account49,East,BIG APPLE,BRONX,NY,Med,Jul,15641.7,6256.68,5,2,0.94,0.99
2514,Account50,East,BIG APPLE,BRONX,NY,Low,Jun,2850.26,14943.25,1,5,1.14,1.54
2516,Account51,East,BIG APPLE,BRONX,NY,High,Oct,13535.82,8186.31,4.8333,3,0.94,0.99
2521,Account52,East,BIG APPLE,BRONX,NY,High,Feb,5457.22,3076.42,2,1,1.26,1.47
2521,Account52,East,BIG APPLE,BRONX,NY,High,Jun,48716.85,37406.46,18,14,0.85,0.93
2524,Account53,East,BIG APPLE,BRONX,NY,Med,Dec,0,8186.31,0,3,0.91,1.21
2524,Account53,East,BIG APPLE,BRONX,NY,Med,May,16371.66,16372.62,6,6,1.41,1.25
2527,Account54,East,EMPIRE,POUGHKEEPSIE,NY,Med,Jul,0,3918.77,0,1,1.27,1.13
2527,Account54,East,EMPIRE,POUGHKEEPSIE,NY,Med,Apr,17024.44,32169.05,5,9,1.01,1.53
2528,Account55,East,BIG APPLE,PATERSON,NJ,High,Jun,0,6951.86,0,2,1.09,1.12
2535,Account57,East,BIG APPLE,BROOKLYN,NY,High,Nov,14780.8,0,5,0,1.25,1.56
2535,Account57,East,BIG APPLE,BROOKLYN,NY,High,Jul,0,14780.8,0,5,0.98,1.52
2535,Account57,East,BIG APPLE,BROOKLYN,NY,High,Dec,14780.8,29561.6,5,10,1.3,1.54
2537,Account58,East,BIG APPLE,BROOKLYN,NY,High,Aug,3475.93,0,1,0,0.98,0.91
2537,Account58,East,BIG APPLE,BROOKLYN,NY,High,Jun,7837.54,0,2,0,1.15,1.27
2561,Account61,East,BIG APPLE,LONG ISLAND E,NY,High,Aug,0,7805.49,0,3,1.24,1.54
2562,Account62,East,BIG APPLE,LONG ISLAND E,NY,High,Feb,16434.18,0,6,0,0.82,1.57
2562,Account62,East,BIG APPLE,LONG ISLAND E,NY,High,Jul,6175.98,12609.13,2,5,1.4,1.13
2562,Account62,East,BIG APPLE,LONG ISLAND E,NY,High,Dec,23308.08,44135.66,8,17,1.35,1.56
2564,Account63,East,BIG APPLE,LONG ISLAND E,NY,High,Oct,2728.77,0,1,0,0.89,0.91
2568,Account64,East,EMPIRE,POUGHKEEPSIE,NY,Med,Jun,0,2858.71,0,1,0.98,1.28
2568,Account64,East,EMPIRE,POUGHKEEPSIE,NY,Med,Jul,14293.55,10600.62,5,4,0.94,1.16
2573,Account65,Central,GRIDIRON,CRANBERRY TWP,PA,High,Apr,5717.42,0,2,0,1.37,1.36
2573,Account65,Central,GRIDIRON,CRANBERRY TWP,PA,High,Oct,8159.02,14293.55,3,5,1.03,1.54
2581,Account67,Central,GRIDIRON,MORGANTOWN W,WV,Low,Jan,2209,4418,1,2,0.82,1.12
2582,Account68,Central,GRIDIRON,CRANBERRY TWP,PA,Med,Feb,2858.71,2858.71,1,1,0.73,1.08
2582,Account68,Central,GRIDIRON,CRANBERRY TWP,PA,Med,Nov,22869.68,28587.1,8,10,1.11,1.53
2585,Account69,Central,GRIDIRON,PITTSBURGH,PA,Med,Jan,0,2826.22,0,1,0.88,1
2585,Account69,Central,GRIDIRON,PITTSBURGH,PA,Med,Apr,24611.24,18546.43,9,7,1.08,1.27
2589,Account70,Central,GRIDIRON,CRANBERRY TWP,PA,High,Feb,6048,0,4,0,0.97,1.45
2589,Account70,Central,GRIDIRON,PITTSBURGH,PA,High,May,6048,0,4,0,1,1.06
2595,Account71,Central,GRIDIRON,CRANBERRY TWP,PA,High,Oct,5414.22,0,4,0,0.78,1.19
2595,Account71,Central,GRIDIRON,CRANBERRY TWP,PA,High,Oct,1512,0,1,0,1.09,0.92
2595,Account71,Central,GRIDIRON,PITTSBURGH,PA,High,Aug,5414.22,0,4,0,0.98,1.38
2595,Account71,Central,GRIDIRON,PITTSBURGH,PA,High,Jan,1512,0,1,0,0.74,1.13
2596,Account72,Central,GRIDIRON,MORGANTOWN W,WV,Med,Mar,5067.7,0,2,0,1.09,0.96
2596,Account72,Central,GRIDIRON,MORGANTOWN W,WV,Med,Feb,5067.7,0,2,0,0.93,0.96
2596,Account72,Central,GRIDIRON,MORGANTOWN W,WV,Med,Aug,5067.7,20010.97,2,7,1.39,1.33
2597,Account73,Central,GRIDIRON,MORGANTOWN W,WV,High,Jul,10844.89,6951.86,3,2,1.38,1.17
2598,Account74,Central,GRIDIRON,MORGANTOWN W,WV,Low,May,0,2209,0,1,1.21,1.07
2599,Account75,Central,GRIDIRON,MORGANTOWN W,WV,High,Nov,2164.14,0,1,0,0.93,1.13
2599,Account75,Central,GRIDIRON,MORGANTOWN W,WV,High,Jul,2533.85,0,1,0,0.75,1.51
2599,Account75,Central,GRIDIRON,MORGANTOWN W,WV,High,Apr,0,5059.38,0,2,0.8,1.12
2599,Account75,Central,GRIDIRON,MORGANTOWN W,WV,High,Jan,10458.22,12847.53,4,5,0.98,1.19
2600,Account76,Central,GRIDIRON,JOHNSTOWN,PA,High,Oct,2533.85,0,1,0,1.16,1.27
2600,Account76,Central,GRIDIRON,JOHNSTOWN,PA,High,Jun,1267.17,5241.17,0.5001,1.8334,0.97,1.11
2600,Account76,Central,GRIDIRON,JOHNSTOWN,PA,High,Oct,13683.77,18583.39,5.1668,6.5006,1.08,1.3
2602,Account77,Central,GRIDIRON,JOHNSTOWN,PA,High,Jan,5067.7,0,2,0,1.1,1.34
2602,Account77,Central,GRIDIRON,JOHNSTOWN,PA,High,Jul,1267.17,3811.81,0.5001,1.3334,1.4,1.42
2602,Account77,Central,GRIDIRON,JOHNSTOWN,PA,High,Sep,9818.86,9529.23,4.1669,3.3334,1.35,1.18
2605,Account78,Central,GRIDIRON,YOUNGSTOWN,OH,High,Sep,2956.16,2524.83,1,1,0.7,1.56
2605,Account78,Central,GRIDIRON,YOUNGSTOWN,OH,High,Nov,11824.64,17736.96,4,6,1.4,1.57
2608,Account79,Central,GRIDIRON,JOHNSTOWN,PA,High,Oct,9998.34,8289.42,3,3,1.35,1.08
2609,Account80,Central,GRIDIRON,JOHNSTOWN,PA,Med,Oct,0,3163.1,0,1,1.03,1.47
2609,Account80,Central,GRIDIRON,JOHNSTOWN,PA,Med,Jun,3163.1,3475.93,1,1,1.37,1.2
2610,Account81,Central,GRIDIRON,YOUNGSTOWN,OH,Med,Mar,7368.96,6951.86,2,2,0.76,1.34
2616,Account83,Central,GRIDIRON,YOUNGSTOWN,OH,High,Dec,0,3024,0,1,1.06,1.06
2623,Account85,Central,GRIDIRON,JOHNSTOWN,PA,Med,Jan,7368.96,6951.86,2,2,0.89,1.04
2626,Account86,East,CONGRESSIONAL,LANCASTER,PA,High,Sep,5262.62,5262.62,2,2,1.3,1.47
2626,Account86,East,CONGRESSIONAL,LANCASTER,PA,High,Sep,29614.87,40810.57,11,15,1.27,1.09
2628,Account87,Central,GRIDIRON,JOHNSTOWN,PA,High,Feb,5352.94,5457.54,2,2,1.17,1.32
2628,Account87,Central,GRIDIRON,JOHNSTOWN,PA,High,Oct,29441.17,24558.93,11,9,1.28,1.34
2629,Account88,East,CONGRESSIONAL,LANCASTER,PA,Med,Sep,13264.12,6256.68,4,2,1.23,1.04
2632,Account89,East,CONGRESSIONAL,LANCASTER,PA,Med,Apr,3332.78,5912.32,1,2,0.74,1.17
2636,Account91,East,CONGRESSIONAL,LANCASTER,PA,High,Mar,0,3475.93,0,1,1,1.26
2637,Account92,East,REVOLUTION,ALLENTOWN,PA,Med,Jan,14737.92,14131.1,4,5,1.21,1.36
2638,Account93,East,CONGRESSIONAL,LANCASTER,PA,High,May,3684.48,3475.93,1,1,1.21,1.42
2638,Account93,East,CONGRESSIONAL,LANCASTER,PA,High,Jan,26730.18,25217.19,7,7,1.07,1
2639,Account94,East,CONGRESSIONAL,LANCASTER,PA,Low,Mar,4699.43,0,2,0,0.72,1.26
2640,Account95,East,EMPIRE,SCRANTON,PA,Med,Mar,0,3302.13,0,1,1.14,1.21
2640,Account95,East,EMPIRE,SCRANTON,PA,Med,Nov,0,6604.26,0,2,1.18,0.95
2644,Account97,East,EMPIRE,SCRANTON,PA,High,Dec,2526.64,0,1,0,1.01,1.53
2644,Account97,East,EMPIRE,SCRANTON,PA,High,Dec,9718.1,23217.95,4,8,1.09,0.97
2645,Account98,East,EMPIRE,SCRANTON,PA,High,Jun,-192.43,0,0,0,1.31,1.17
2645,Account98,East,EMPIRE,SCRANTON,PA,High,Jul,2330.61,0,2,0,1.24,0.96
2645,Account98,East,EMPIRE,SCRANTON,PA,High,Mar,4750.085,0,4,0,1,1.41
2645,Account98,East,EMPIRE,SCRANTON,PA,High,Oct,10915.08,0,8,0,1.28,1.46
2645,Account98,East,EMPIRE,SCRANTON,PA,High,Jun,0,5053.28,0,4,1.34,1.19
2645,Account98,East,EMPIRE,SCRANTON,PA,High,Mar,8750.54,30953.96,7,25,1.04,1.52
2645,Account98,East,EMPIRE,POUGHKEEPSIE,NY,High,Mar,-192.43,0,0,0,1.22,1
2645,Account98,East,EMPIRE,POUGHKEEPSIE,NY,High,Oct,2330.61,0,2,0,1.18,1.28
2645,Account98,East,EMPIRE,POUGHKEEPSIE,NY,High,Nov,4750.085,0,4,0,1.11,1.31
2645,Account98,East,EMPIRE,POUGHKEEPSIE,NY,High,Feb,10915.08,0,8,0,1.17,1.22
2645,Account98,East,EMPIRE,POUGHKEEPSIE,NY,High,Jun,0,5053.28,0,4,0.93,1.5
2645,Account98,East,EMPIRE,POUGHKEEPSIE,NY,High,Jul,8750.54,30953.96,7,25,1.17,1.54
2646,Account99,East,EMPIRE,SCRANTON,PA,Med,Aug,0,3302.13,0,1,0.77,1.06
2646,Account99,East,EMPIRE,SCRANTON,PA,Med,Jan,10500.78,3302.13,3,1,1.39,1.27
2649,Account100,East,REVOLUTION,ALLENTOWN,PA,Med,Oct,0,2631.31,0,1,1.12,1.38
2653,Account101,East,REVOLUTION,ALLENTOWN,PA,Med,Jan,2966.54,10860.47,1,4,0.97,1.36
2653,Account101,East,REVOLUTION,ALLENTOWN,PA,Med,Apr,17799.24,56263.2,6,21,1.07,1
2655,Account102,East,BIG APPLE,PATERSON,NJ,High,Jan,2989.54,6604.26,1,2,1.34,1.19
2657,Account103,East,EMPIRE,POUGHKEEPSIE,NY,High,May,29475.84,0,8,0,1.15,1.36
2659,Account104,East,EMPIRE,SCRANTON,PA,High,Nov,11045,10005.48,5,4,0.83,1.16
2662,Account105,East,EMPIRE,SCRANTON,PA,High,Dec,10106.56,2526.64,4,1,0.93,1.57
2663,Account106,East,EMPIRE,POUGHKEEPSIE,NY,High,May,4128.77,2730.6,2.1667,1.3334,1,1.42
2663,Account106,East,EMPIRE,POUGHKEEPSIE,NY,High,May,23419.27,17823.17,10.8333,8.3332,1.42,1.22
2666,Account107,East,REVOLUTION,TRENTON,NJ,High,Nov,3684.48,0,1,0,1,1.37
2666,Account107,East,REVOLUTION,TRENTON,NJ,High,Dec,3684.48,2989.3,1,1,0.73,1.18
2668,Account108,East,REVOLUTION,ALLENTOWN,PA,High,Sep,3684.48,1158.53,1,0.3333,1.02,1.04
2668,Account108,East,REVOLUTION,ALLENTOWN,PA,High,Nov,31318.44,8689.5,8.5001,2.4999,1.21,1.38
2669,Account109,East,REVOLUTION,PHILADELPHIA N,PA,High,Jan,8550.78,0,3,0,0.79,1.53
2669,Account109,East,REVOLUTION,PHILADELPHIA N,PA,High,May,19951.82,0,7,0,0.81,0.99
2669,Account109,East,REVOLUTION,PHILADELPHIA N,PA,High,Sep,0,2605.32,0,1,1.39,1.51
2669,Account109,East,REVOLUTION,PHILADELPHIA N,PA,High,Sep,11401.04,33869.16,4,13,1.25,1.25
2670,Account110,East,REVOLUTION,PHILADELPHIA W,PA,High,Feb,0,3128.34,0,1,0.84,1.42
2670,Account110,East,REVOLUTION,PHILADELPHIA W,PA,High,Feb,0,3128.34,0,1,0.97,1.47
2671,Account111,East,REVOLUTION,TRENTON,NJ,High,Feb,0,5847.36,0,2,1.21,1.54
2671,Account111,East,REVOLUTION,TRENTON,NJ,High,Oct,3065.77,5847.36,1,2,1.07,1.46
2672,Account112,East,REVOLUTION,PHILADELPHIA W,PA,High,Aug,0,2858.71,0,1,0.71,1.22
2672,Account112,East,REVOLUTION,PHILADELPHIA W,PA,High,Jan,9304.53,11381.93,3,4,0.86,1.16
2674,Account113,East,REVOLUTION,PHILADELPHIA DELAWARE,PA,Low,Jan,0,7869.07,0,4,1.32,1.08
2678,Account114,East,REVOLUTION,TRENTON,NJ,Low,Jan,13535.43,14496.07,6,7,0.89,1.57
2683,Account115,East,REVOLUTION,PHILADELPHIA E,PA,Med,Jun,0,5262.62,0,2,1.11,0.98
2683,Account115,East,REVOLUTION,PHILADELPHIA E,PA,Med,Jul,18419.17,26313.1,7,10,0.89,1.46
2685,Account116,East,REVOLUTION,PHILADELPHIA E,PA,High,Jan,31978.6,0,10,0,1.16,1.1
2685,Account116,East,REVOLUTION,PHILADELPHIA E,PA,High,Oct,12791.44,25582.88,4,8,0.89,1.56
2688,Account117,East,REVOLUTION,PHILADELPHIA E,PA,Med,Dec,0,5462.52,0,2,0.88,1.37
2692,Account118,East,REVOLUTION,PHILADELPHIA E,PA,High,Jun,0,3197.86,0,1,1.39,1.49
2692,Account118,East,REVOLUTION,PHILADELPHIA E,PA,High,Jul,3197.86,0,1,0,1.33,1.37
2696,Account119,East,REVOLUTION,PHILADELPHIA DELAWARE,PA,High,Dec,2641.71,0,1,0,1.01,1.42
2696,Account119,East,REVOLUTION,PHILADELPHIA DELAWARE,PA,High,Jan,7154.23,9920.62,3,3,1.41,1.07
2697,Account120,East,REVOLUTION,PHILADELPHIA W,PA,Med,Feb,0,2671.88,0,1,0.74,1.26
2697,Account120,East,REVOLUTION,PHILADELPHIA W,PA,Med,Apr,0,15185.24,0,5,1.14,1.56
2699,Account121,East,REVOLUTION,PHILADELPHIA N,PA,Med,Feb,24218.81,0,6,0,0.92,1.16
2700,Account122,East,REVOLUTION,PHILADELPHIA DELAWARE,PA,Low,Oct,0,2490.43,0,1,0.98,1.03
2700,Account122,East,REVOLUTION,PHILADELPHIA DELAWARE,PA,Low,Apr,7189.86,2209,3,1,1.17,1.08
2701,Account123,East,REVOLUTION,PHILADELPHIA W,PA,High,Jan,2641.71,0,1,0,0.82,1.03
2704,Account124,East,REVOLUTION,PHILADELPHIA W,PA,Med,Feb,2858.71,2858.71,1,1,1.33,1.56
2704,Account124,East,REVOLUTION,PHILADELPHIA W,PA,Med,Jul,2858.71,8576.13,1,3,0.94,1.35
2710,Account125,East,REVOLUTION,PHILADELPHIA DELAWARE,PA,Med,May,5283.42,0,2,0,1,1.17
2710,Account125,East,REVOLUTION,PHILADELPHIA DELAWARE,PA,Med,Feb,5283.42,3475.93,2,1,1.1,1.32
2710,Account125,East,REVOLUTION,PHILADELPHIA DELAWARE,PA,Med,Jul,12328.07,30776.2,4.6667,9,1.15,1.13
2711,Account126,East,REVOLUTION,PHILADELPHIA N,PA,Med,Apr,3684.48,0,1,0,0.75,1.09
2712,Account127,East,REVOLUTION,PHILADELPHIA DELAWARE,PA,Low,Mar,9117.43,4377.12,4,2,1.28,1.36
2717,Account128,East,REVOLUTION,PHILADELPHIA W,PA,Med,Apr,0,2858.71,0,1,0.83,1.44
2717,Account128,East,REVOLUTION,PHILADELPHIA W,PA,Med,Apr,5717.42,2858.71,2,1,1.05,1.32
2718,Account129,East,REVOLUTION,PHILADELPHIA E,PA,Low,Nov,1050.77,943.35,0.5,0.5,0.77,1.5
2718,Account129,East,REVOLUTION,PHILADELPHIA E,PA,Low,Nov,1840.98,4517.44,0.8334,2.1666,1.09,1.42
2719,Account130,East,REVOLUTION,PHILADELPHIA E,PA,Med,Nov,6632.06,0,2,0,0.71,1.22
2719,Account130,East,REVOLUTION,PHILADELPHIA E,PA,Med,Apr,6632.06,0,2,0,1.33,1.1
2721,Account131,East,REVOLUTION,PHILADELPHIA N,PA,High,Feb,8307.78,0,2,0,0.73,1.01
2727,Account133,East,REVOLUTION,ALLENTOWN,PA,Med,Jul,0,25728.39,0,9,1.35,1.21
2729,Account134,East,CONGRESSIONAL,BALTIMORE W,MD,Med,Apr,14780.8,2956.16,5,1,1.41,1.21
2729,Account134,East,CONGRESSIONAL,BALTIMORE W,MD,Med,Aug,8868.48,11824.64,3,4,0.91,1.28
2730,Account135,East,CONGRESSIONAL,BALTIMORE W,MD,High,Apr,0,8576.13,0,3,1,1.36
2730,Account135,East,CONGRESSIONAL,BALTIMORE W,MD,High,Oct,22869.68,20010.97,8,7,1.18,1.45
2733,Account136,East,CONGRESSIONAL,WASHINGTON N,DC,Med,Feb,0,3918.77,0,1,1.27,1.44
2734,Account137,East,CONGRESSIONAL,WASHINGTON N,DC,High,Nov,13156.55,0,5,0,1.1,1.44
2734,Account137,East,CONGRESSIONAL,WASHINGTON N,DC,High,Dec,10525.24,23681.79,4,9,0.81,1.46
2735,Account138,East,CONGRESSIONAL,SILVER SPRING,MD,High,Jun,0,2858.71,0,1,1.08,1.41
2735,Account138,East,CONGRESSIONAL,SILVER SPRING,MD,High,Apr,0,19176.75,0,7,0.94,1.52
2736,Account139,East,CONGRESSIONAL,WASHINGTON N,DC,High,Oct,0,3222.91,0,1,0.77,1.56
2736,Account139,East,CONGRESSIONAL,WASHINGTON N,DC,High,Jan,11559.23,3222.91,4,1,1.34,1.37
2742,Account140,East,CONGRESSIONAL,WASHINGTON N,DC,Med,Jun,5457.54,0,2,0,1.29,0.91
2742,Account140,East,CONGRESSIONAL,WASHINGTON N,DC,Med,Oct,21033.84,10915.08,8,4,1.36,1.19
2744,Account141,East,CONGRESSIONAL,WASHINGTON S,DC,High,Nov,0,5327.58,0,2,1.25,1.27
2744,Account141,East,CONGRESSIONAL,WASHINGTON S,DC,High,Nov,19168.59,34629.27,6,13,0.82,1.5
2745,Account142,East,CONGRESSIONAL,SILVER SPRING,MD,Med,Feb,0,5457.54,0,2,1.04,1.51
2746,Account143,East,CONGRESSIONAL,BALTIMORE E,MD,Med,Aug,0,5411.26,0,2,0.85,1.03
2746,Account143,East,CONGRESSIONAL,BALTIMORE E,MD,Med,Apr,5213.9,20672.86,2,8,1.41,0.95
2747,Account144,East,CONGRESSIONAL,BALTIMORE,MD,Med,Jan,0,9240.03,0,3,1.22,1.04
2747,Account144,East,CONGRESSIONAL,BALTIMORE,MD,Med,Jul,17727.24,18625.04,6,6,0.87,1.36
2748,Account145,East,CONGRESSIONAL,SILVER SPRING,MD,High,May,16187.95,16318.04,6,6,1.38,1.24
2750,Account146,East,CONGRESSIONAL,BALTIMORE,MD,Med,Sep,5700.52,2663.79,2,1,1.09,1.17
2750,Account146,East,CONGRESSIONAL,BALTIMORE,MD,Med,Dec,11401.04,23585.44,4,9,1.21,1.51
2751,Account147,East,CONGRESSIONAL,BALTIMORE E,MD,High,Jan,11333.77,8576.13,4,3,1.25,1.13
2751,Account147,East,CONGRESSIONAL,BALTIMORE E,MD,High,Jul,51167.92,81136.48,18,28,0.93,0.93
2754,Account148,East,CONGRESSIONAL,BALTIMORE,MD,Med,Nov,0,43273.42,0,15,0.73,0.95
