SL No:,Customer,Month,Amount
152,A8,8-May-06,361184.89
153,A9,9-May-05,136969.63
154,A10,10-May-06,14301.86
155,A11,11-Jul-06,128484.37
156,A12,12-Aug-05,120471.17
157,A13,13-Sep-04,439840.91
158,A14,20-Nov-05,397945.07
159,A1,21-Nov-06,169358.4
160,A2,22-Nov-05,10274
161,A3,23-Nov-04,233364.46
162,A4,24-May-05,358341.19
163,A5,25-May-05,326532.48
164,A6,26-May-05,119216.68
165,A7,27-May-05,401337.63
166,A8,28-May-05,355979.34
167,A9,29-May-05,203517.42
168,A10,30-May-05,192550.99
169,A11,31-May-05,354172.42
170,A12,1-Jun-05,450664.18
171,A13,2-Jun-05,210782.51
172,A14,3-Jun-05,9887.74
173,A1,3-Jul-05,297176.74
174,A2,3-Aug-05,381635.66
175,A3,3-Sep-05,369413.74
176,A4,3-Oct-05,373214.8
177,A5,3-Nov-05,81884.13
178,A6,3-Dec-05,27398.18
179,A7,3-Jan-06,94004.28
180,A8,3-Feb-06,490957.38
181,A9,3-Mar-06,274545.23
182,A10,3-Apr-06,18330.89
183,A11,3-May-06,379240.77
184,A12,3-Jun-06,75561.64
185,A13,3-Jul-06,424603.55
186,A14,3-Aug-06,198623.13
187,A1,3-Sep-06,186427.5
188,A2,3-Oct-06,298423.86
189,A3,3-Nov-06,233945.84
190,A4,3-Dec-06,277825.13
191,A5,12-Jan-04,213056.83
192,A6,3-Jan-04,192714.74
193,A7,15-Jan-04,441906.93
194,A8,25-Jan-04,103325.39
195,A9,17-Jan-05,429340.01
196,A10,23-Feb-05,179019.64
197,A11,1-Feb-05,92573.47
198,A12,5-Feb-04,412914.78
199,A13,28-Feb-05,464781.64
200,A14,16-Feb-05,335634.81
201,A1,23-Feb-05,96670.7
202,A2,3-Feb-05,431953.19
203,A3,4-Feb-06,288900.12
204,A4,25-Mar-06,271095.26
205,A5,31-Mar-06,175514.06
206,A6,23-Mar-06,197962.09
207,A7,24-Mar-06,86674.88
208,A8,25-Mar-06,31802.4
209,A9,26-Mar-06,299793.75
210,A10,27-Mar-06,458643.68
211,A11,28-Mar-06,358690.48
212,A12,29-Mar-06,239672.94
213,A13,30-Mar-06,113956.32
214,A14,31-Mar-06,267810.55
215,A1,1-Apr-06,429099.97
216,A2,2-Apr-06,339899.24
217,A3,3-Apr-06,79705.12
218,A4,4-Apr-06,100644.99
219,A5,12-Jan-04,333037.8
220,A6,3-Jan-04,385541.49
221,A7,15-Jan-04,158436.47
222,A8,25-Jan-04,475525.36
223,A9,12-Jan-04,39314.91
224,A10,3-Jan-04,307678.72
225,A11,15-Jan-04,69513.3
226,A12,25-Jan-04,219352.84
227,A13,12-Jan-04,465305.81
228,A14,3-Jan-04,312439.76
229,A1,15-Jan-04,453027.64
230,A2,25-Jan-04,298200.38
231,A3,12-Jan-04,327273.46
232,A4,3-Jan-04,15557.49
233,A5,15-Jan-04,156388.37
234,A6,12-Jan-04,187436.58
235,A7,3-Jan-04,110225.07
236,A8,15-Jan-04,168524.22
237,A9,25-Jan-04,184923.45
238,A10,17-Jan-05,211299.62
239,A11,23-Feb-05,442370.14
240,A12,1-Feb-05,400450.57
241,A13,5-Feb-04,269503.29
242,A14,28-Feb-05,177114.2
243,A1,16-Feb-05,187398.64
244,A2,23-Feb-05,132970.25
245,A3,3-Feb-05,104406.96
246,A4,4-Feb-06,357358.11
247,A5,25-Mar-06,175413.18
248,A6,31-Mar-06,236055.93
249,A7,23-Mar-06,47988.31
250,A8,19-Mar-04,371681.75
251,A9,5-Mar-06,309755.6
252,A10,4-Apr-05,3121.88
253,A11,30-Apr-06,116375.65
254,A12,25-Apr-04,429751.89
255,A13,19-Apr-06,333493.42
256,A14,6-Apr-04,358920.36
257,A5,27-Apr-05,7276.6
258,A6,5-May-04,48574.15
259,A7,6-May-06,400375.97
260,A8,7-May-05,470274.39
261,A9,8-May-06,87585.98
262,A10,9-May-05,26944.61
263,A11,10-May-06,332077.52
264,A12,11-Jul-06,344969.11
265,A13,12-Aug-05,444905.55
266,A14,5-May-04,212622.51
267,A15,6-May-06,321684.83
268,A16,7-May-05,27330.96
269,A17,8-May-06,234053.99
270,A18,9-May-05,402894.96
271,A19,10-May-06,284384.54
272,A20,11-Jul-06,125789.06
273,A21,12-Aug-05,394173.66
274,A22,13-Sep-04,3604.58
275,A5,20-Nov-05,478284.25
276,A6,21-Nov-06,53215.28
277,A7,22-Nov-05,55108.71
278,A8,23-Nov-04,453649.34
279,A9,24-May-05,143557.98
280,A10,25-May-05,160893.32
281,A11,26-May-05,288831.59
282,A12,27-May-05,198563.01
283,A13,28-May-05,309835.5
284,A14,29-May-05,243922.47
285,A15,30-May-05,365542.48
286,A16,31-May-05,398262.74
287,A17,1-Jun-05,160665.44
288,A18,2-Jun-05,268556.31
289,A19,3-Jun-05,55869.98
290,A20,3-Jul-05,12311.27
291,A21,3-Aug-05,442316.54
292,A22,3-Sep-05,362182.7
293,A5,3-Oct-05,106289.18
294,A6,3-Nov-05,339019.52
295,A7,3-Dec-05,429700.12
296,A8,3-Jan-06,375175.23
297,A9,3-Feb-06,66920.41
298,A10,3-Mar-06,249847.34
299,A11,3-Apr-06,342159.77
300,A12,3-May-06,475049.52
301,A13,3-Jun-06,186555.52
302,A14,3-Jul-06,41962.19
303,A15,3-Aug-06,17981.25
304,A16,3-Sep-06,339373.25
305,A17,3-Oct-06,412459.19
306,A18,3-Nov-06,195876.51
307,A19,3-Dec-06,169987.85
308,A20,12-Jan-04,375694.96
309,A21,3-Jan-04,210427.78
310,A22,15-Jan-04,429311.06
311,A5,25-Jan-04,129317.21
312,A6,17-Jan-05,192374.09
313,A7,23-Feb-05,344628.72
314,A8,1-Feb-05,190048.24
315,A9,5-Feb-04,492608.93
316,A10,28-Feb-05,424254.68
317,A11,16-Feb-05,326527.71
318,A12,23-Feb-05,458617.08
319,A13,3-Feb-05,217347.65
320,A14,4-Feb-06,6804.22
321,A15,25-Mar-06,262100.76
322,A16,31-Mar-06,13804.36
323,A17,23-Mar-06,444996.81
324,A18,24-Mar-06,441039.88
325,A19,25-Mar-06,190212.08
326,A20,26-Mar-06,179826.1
327,A21,27-Mar-06,351450.1
328,A22,28-Mar-06,281567.68
329,A5,29-Mar-06,365777.46
330,A6,30-Mar-06,255499.69
331,A7,31-Mar-06,336264.37
332,A8,1-Apr-06,127926.49
333,A9,2-Apr-06,43323.9
334,A10,3-Apr-06,457294.64
335,A11,4-Apr-06,499930.66
336,A12,12-Jan-04,366694.13
337,A13,3-Jan-04,294101.71
338,A14,15-Jan-04,238399.45
339,A15,25-Jan-04,129808.72
340,A16,12-Jan-04,484624.19
341,A17,3-Jan-04,104323.71
342,A18,15-Jan-04,406501.59
343,A19,25-Jan-04,57524.44
344,A20,12-Jan-04,153540.16
345,A21,3-Jan-04,432751.25
346,A22,15-Jan-04,363041.33
347,A5,25-Jan-04,100258.65
348,A6,12-Jan-04,377254.32
349,A7,3-Jan-04,473662.61
350,A8,15-Jan-04,493210.52
351,A9,12-Jan-04,443277.34
352,A10,3-Jan-04,175552.03
353,A11,15-Jan-04,430568.16
354,A12,25-Jan-04,330807.79
355,A13,17-Jan-05,386518.41
356,A14,23-Feb-05,350149.89
357,A15,1-Feb-05,194420.82
358,A16,5-Feb-04,50358.44
359,A17,28-Feb-05,374865.01
360,A18,16-Feb-05,38296.41
361,A19,23-Feb-05,477491.51
362,A20,3-Feb-05,220681.41
363,A21,4-Feb-06,406096.67
364,A22,25-Mar-06,257321.06
365,A12,31-Mar-06,393141.72
366,A13,23-Mar-06,170743.97
367,A14,19-Mar-04,425031.99
368,A15,5-Mar-06,33491.82
369,A16,4-Apr-05,338710.86
370,A17,30-Apr-06,391463.29
371,A18,25-Apr-04,250429.66
372,A19,19-Apr-06,313391.53
373,A20,6-Apr-04,347978.28
374,A21,27-Apr-05,18883.95
375,A22,5-May-04,152613.38
376,A23,6-May-06,234139.72
377,A24,7-May-05,259373.49
378,A25,8-May-06,452685.93
379,A26,9-May-05,141279.81
380,A27,10-May-06,351660.46
381,A28,11-Jul-06,319405.61
382,A29,12-Aug-05,192737.48
383,A30,5-May-04,496754.84
384,A12,6-May-06,16888.1
385,A13,7-May-05,87254.42
386,A14,8-May-06,301965.95
387,A15,9-May-05,356235.03
388,A16,10-May-06,143835
389,A17,11-Jul-06,118112.45
390,A18,12-Aug-05,274256.9
391,A19,13-Sep-04,384470.75
392,A20,20-Nov-05,277757.25
393,A21,21-Nov-06,269546.03
394,A22,22-Nov-05,41542.81
395,A23,23-Nov-04,466178.21
396,A24,24-May-05,380788.59
397,A25,25-May-05,72601.74
398,A26,26-May-05,149479.43
399,A27,27-May-05,130828.49
400,A28,28-May-05,76099.18
401,A29,29-May-05,131801.93
402,A30,30-May-05,337199.44
403,A12,31-May-05,294136.82
404,A13,1-Jun-05,439763.88
405,A14,2-Jun-05,31241.24
406,A15,3-Jun-05,49334.38
407,A16,3-Jul-05,367100.15
408,A17,3-Aug-05,98341.04
409,A18,3-Sep-05,168067.16
410,A19,3-Oct-05,140415.33
411,A20,3-Nov-05,342030.38
412,A21,3-Dec-05,489260.28
413,A22,3-Jan-06,326909.16
414,A23,3-Feb-06,112063.91
415,A24,3-Mar-06,335283.31
416,A25,3-Apr-06,456294.79
417,A26,3-May-06,489138.12
418,A27,3-Jun-06,484419.68
419,A28,3-Jul-06,61054.79
420,A29,3-Aug-06,341365.93
421,A30,3-Sep-06,19761.75
422,A12,3-Oct-06,347528.59
423,A13,3-Nov-06,484688.54
424,A14,3-Dec-06,388821.96
425,A15,12-Jan-04,487671.4
426,A16,3-Jan-04,262142.78
427,A17,15-Jan-04,149552.7
428,A18,25-Jan-04,355305.57
429,A19,17-Jan-05,94479.51
430,A20,23-Feb-05,213741.25
431,A21,1-Feb-05,330195
432,A22,5-Feb-04,49814.89
433,A23,28-Feb-05,312943.16
434,A24,16-Feb-05,86589.13
435,A25,23-Feb-05,307615.7
436,A26,3-Feb-05,313118.51
437,A27,4-Feb-06,87030.86
438,A28,25-Mar-06,395095.33
439,A29,31-Mar-06,355632.86
440,A30,23-Mar-06,20888.41
441,A12,24-Mar-06,98470.42
442,A13,25-Mar-06,494061.6
443,A14,26-Mar-06,138459.02
444,A15,27-Mar-06,340251.99
445,A16,28-Mar-06,89550.41
446,A17,29-Mar-06,169871.3
447,A18,30-Mar-06,375344.31
448,A19,31-Mar-06,157933.51
449,A20,1-Apr-06,406103.51
450,A21,2-Apr-06,410448.18
451,A22,3-Apr-06,92140.92
452,A23,4-Apr-06,128909.28
453,A24,12-Jan-04,24111.18
454,A25,3-Jan-04,86317.08
455,A26,15-Jan-04,182526.38
456,A27,25-Jan-04,255497.88
457,A28,12-Jan-04,97077.77
458,A29,3-Jan-04,156232.92
459,A30,15-Jan-04,100398.67
460,A12,25-Jan-04,204117.58
461,A13,12-Jan-04,369976.86
462,A14,3-Jan-04,302408.5
463,A15,15-Jan-04,384183.76
464,A16,25-Jan-04,203703.32
465,A17,12-Jan-04,426479.22
466,A18,3-Jan-04,457966.08
467,A19,15-Jan-04,20114.19
468,A20,12-Jan-04,267679.45
469,A21,3-Jan-04,302056.88
470,A22,15-Jan-04,483926.54
471,A23,25-Jan-04,348942.77
472,A24,17-Jan-05,103062.14
473,A25,23-Feb-05,36151.25
474,A26,1-Feb-05,324151.44
475,A27,5-Feb-04,429484.76
476,A28,28-Feb-05,207864.32
477,A29,16-Feb-05,237536.35
478,A30,23-Feb-05,299295.58
479,A12,3-Feb-05,59062.67
480,A13,4-Feb-06,142996.22
481,A14,25-Mar-06,253549.89
482,A15,31-Mar-06,301570.02
483,A16,23-Mar-06,206863.77
484,A17,19-Mar-04,255335.34
485,A18,5-Mar-06,323868.57
486,A19,4-Apr-05,115795.63
487,A20,30-Apr-06,349408.06
488,A21,25-Apr-04,66949.5
489,A22,19-Apr-06,452164.81
490,A23,6-Apr-04,24735.08
491,A24,27-Apr-05,165490.33
492,A25,5-May-04,298699.17
493,A26,6-May-06,456060.27
494,A27,7-May-05,81523.05
495,A28,8-May-06,130708.63
496,A29,9-May-05,69504.56
497,A30,10-May-06,163228.8
498,A12,11-Jul-06,358958.58
499,A13,12-Aug-05,206967.38
500,A14,5-May-04,326909.73
501,A15,6-May-06,477194.24
502,A16,7-May-05,2787.39
503,A17,8-May-06,148827.7
504,A18,9-May-05,211590.61
505,A19,10-May-06,412244.29
506,A20,11-Jul-06,99511.67
507,A21,12-Aug-05,485424.14
508,A22,13-Sep-04,191467.49
509,A23,20-Nov-05,265581.61
510,A24,21-Nov-06,103932.9
511,A25,22-Nov-05,1619.24
512,A26,23-Nov-04,82167.81
513,A27,24-May-05,447235.93
514,A28,25-May-05,400330.36
515,A29,26-May-05,192642.32
516,A30,27-May-05,303233.96
517,A12,28-May-05,63596.17
518,A13,29-May-05,235510.83
519,A14,30-May-05,332865.97
520,A15,31-May-05,433112.39
521,A16,1-Jun-05,92055.06
522,A17,2-Jun-05,97272.34
523,A18,3-Jun-05,238013.48
524,A19,3-Jul-05,281361.68
525,A20,3-Aug-05,213205.01
526,A21,3-Sep-05,449509.39
527,A22,3-Oct-05,124904.98
528,A23,3-Nov-05,137240.13
529,A24,3-Dec-05,385470.83
530,A25,3-Jan-06,349067.75
531,A26,3-Feb-06,495344.76
532,A27,3-Mar-06,496780.73
533,A28,3-Apr-06,115326.71
534,A29,3-May-06,403498.49
535,A30,3-Jun-06,72609.24
536,A12,3-Jul-06,498001.25
537,A13,3-Aug-06,221431.58
538,A14,3-Sep-06,462300.8
539,A15,3-Oct-06,227585.03
540,A16,3-Nov-06,260514.95
541,A17,3-Dec-06,479227.3
542,A18,12-Jan-04,1240.63
543,A19,3-Jan-04,158594.82
544,A20,15-Jan-04,337926.07
545,A21,25-Jan-04,269674.17
546,A22,17-Jan-05,446974.62
547,A23,23-Feb-05,370797.38
548,A24,1-Feb-05,273630.94
549,A25,5-Feb-04,287936.59
550,A26,28-Feb-05,165385.61
551,A27,16-Feb-05,324598.4
552,A28,23-Feb-05,15573.54
553,A29,3-Feb-05,33109.51
554,A30,4-Feb-06,314255.73
555,A12,25-Mar-06,269849.09
556,A13,31-Mar-06,404807.16
557,A14,23-Mar-06,460200.56
558,A15,24-Mar-06,364161.98
559,A16,25-Mar-06,472718.78
560,A17,26-Mar-06,422159.88
561,A18,27-Mar-06,264902.72
562,A19,28-Mar-06,48272.44
563,A20,29-Mar-06,142558.46
564,A21,30-Mar-06,402301.36
565,A22,31-Mar-06,53130.91
566,A23,1-Apr-06,184416.22
567,A24,2-Apr-06,9683.68
568,A25,3-Apr-06,410333.09
569,A26,4-Apr-06,410658.92
570,A27,12-Jan-04,108626.21
571,A28,3-Jan-04,86854.18
572,A29,15-Jan-04,417309.91
573,A30,25-Jan-04,279113.63
574,A12,12-Jan-04,86034.88
575,A13,3-Jan-04,498284.19
576,A14,15-Jan-04,139867.16
577,A15,25-Jan-04,49838.73
578,A16,12-Jan-04,121382.43
579,A17,3-Jan-04,81290.11
580,A18,15-Jan-04,90352.08
581,A19,25-Jan-04,170824.09
582,A20,12-Jan-04,59829.23
583,A21,3-Jan-04,415697.29
584,A22,15-Jan-04,394532.35
585,A23,12-Jan-04,429309.45
586,A24,3-Jan-04,224689.44
587,A25,15-Jan-04,135309.38
588,A26,25-Jan-04,333890.37
589,A27,17-Jan-05,42552.74
590,A28,23-Feb-05,426460.05
591,A29,1-Feb-05,266951.86
592,A30,5-Feb-04,102510.03
593,A12,28-Feb-05,496791.06
594,A13,16-Feb-05,154042.69
595,A14,23-Feb-05,350670.39
596,A15,3-Feb-05,322123.69
597,A16,4-Feb-06,280785.41
598,A17,25-Mar-06,306611.23
599,A18,31-Mar-06,332113.54
600,A19,23-Mar-06,117175.37
601,A20,19-Mar-04,240282.7
602,A21,5-Mar-06,113636.1
603,A22,4-Apr-05,307593.35
604,A23,30-Apr-06,158368.48
605,A24,25-Apr-04,12372.91
606,A25,19-Apr-06,194783.4
607,A26,6-Apr-04,147773.68
608,A27,27-Apr-05,379529.81
609,A28,5-May-04,210543.47
610,A29,6-May-06,74572.22
611,A30,7-May-05,262119.88
612,A21,8-May-06,33868.33
613,A22,9-May-05,445154.23
614,A23,10-May-06,475136.67
615,A24,11-Jul-06,380333.3
616,A25,12-Aug-05,1168.46
617,A26,5-May-04,130658.98
618,A27,6-May-06,63250.72
619,A28,7-May-05,360059.59
620,A29,8-May-06,482778.64
621,A30,9-May-05,398904.74
622,A31,10-May-06,121736.19
623,A32,11-Jul-06,137150.37
624,A33,12-Aug-05,365544.42
625,A34,13-Sep-04,81344.52
626,A35,20-Nov-05,267856.63
627,A36,21-Nov-06,299638.45
628,A37,22-Nov-05,316995.07
629,A38,23-Nov-04,171777.74
630,A39,24-May-05,363232.95
631,A40,25-May-05,302665.85
632,A41,26-May-05,113162.1
633,A42,27-May-05,426214.94
634,A43,28-May-05,490814.79
635,A44,29-May-05,93910.42
636,A45,30-May-05,332112.62
637,A46,31-May-05,469524.73
638,A47,1-Jun-05,277615.5
639,A48,2-Jun-05,103166.71
640,A49,3-Jun-05,37377.35
641,A21,3-Jul-05,108209.03
642,A22,3-Aug-05,169341.46
643,A23,3-Sep-05,199221.99
644,A24,3-Oct-05,98261.85
645,A25,3-Nov-05,188563.47
646,A26,3-Dec-05,417177.67
647,A27,3-Jan-06,183103.78
648,A28,3-Feb-06,318811.88
649,A29,3-Mar-06,410086.11
650,A30,3-Apr-06,425694.16
651,A31,3-May-06,85880.99
652,A32,3-Jun-06,284410.26
653,A33,3-Jul-06,428595.18
654,A34,3-Aug-06,205246.85
655,A35,3-Sep-06,249105.03
656,A36,3-Oct-06,234343.03
657,A37,3-Nov-06,334631.4
658,A38,3-Dec-06,492660.82
659,A39,12-Jan-04,223330.14
660,A40,3-Jan-04,438201.47
661,A41,15-Jan-04,476997.06
662,A42,25-Jan-04,229410.31
663,A43,17-Jan-05,71540.68
664,A44,23-Feb-05,136296.24
665,A45,1-Feb-05,482338.57
666,A46,5-Feb-04,208860.85
667,A47,28-Feb-05,118461.94
668,A48,16-Feb-05,174298.33
669,A49,23-Feb-05,114620.09
670,A21,3-Feb-05,395046.54
671,A22,4-Feb-06,351039.48
672,A23,25-Mar-06,236830
673,A24,31-Mar-06,285039.38
674,A25,23-Mar-06,118227.35
675,A26,24-Mar-06,70579.41
676,A27,25-Mar-06,148498.19
677,A28,26-Mar-06,289699.71
678,A29,27-Mar-06,260894.74
679,A30,28-Mar-06,32985.28
680,A31,29-Mar-06,313756.71
681,A32,30-Mar-06,267750.16
682,A33,31-Mar-06,244831.61
683,A34,1-Apr-06,252926.33
684,A35,2-Apr-06,256474.98
685,A36,3-Apr-06,315988.94
686,A37,4-Apr-06,477730.54
687,A38,12-Jan-04,258847.78
688,A39,3-Jan-04,28494.84
689,A40,15-Jan-04,312510.63
690,A41,25-Jan-04,2456.87
691,A42,12-Jan-04,401363.29
692,A43,3-Jan-04,37972.68
693,A44,15-Jan-04,106403.79
694,A45,25-Jan-04,161244.47
695,A46,12-Jan-04,148034.6
696,A47,3-Jan-04,306927.84
697,A48,15-Jan-04,66771.24
698,A49,25-Jan-04,406925.14
699,A21,12-Jan-04,395183.42
700,A22,3-Jan-04,483245.51
701,A23,15-Jan-04,456468.39
702,A24,12-Jan-04,115178.7
703,A25,3-Jan-04,274473.27
704,A26,15-Jan-04,79160.72
705,A27,25-Jan-04,16992.28
706,A28,17-Jan-05,451169.45
707,A29,23-Feb-05,4220.25
708,A30,1-Feb-05,289028.69
709,A31,5-Feb-04,407599.13
710,A32,28-Feb-05,418896.84
711,A33,16-Feb-05,342468.09
712,A34,23-Feb-05,53182.46
713,A35,3-Feb-05,202740.17
714,A36,4-Feb-06,350414.18
715,A37,25-Mar-06,378310.73
716,A38,31-Mar-06,339553.1
717,A39,23-Mar-06,176347.5
718,A40,19-Mar-04,398063.76
719,A41,5-Mar-06,87417.47
720,A42,4-Apr-05,173199.87
721,A43,30-Apr-06,277006.96
722,A44,25-Apr-04,84514.47
723,A45,19-Apr-06,176703.42
724,A46,6-Apr-04,249310.63
725,A47,27-Apr-05,348992.15
726,A48,5-May-04,454762.77
727,A49,6-May-06,91731.58
728,A21,7-May-05,22402.48
729,A22,8-May-06,165572.81
730,A23,9-May-05,240751.23
731,A24,10-May-06,1370.84
732,A25,11-Jul-06,221121.56
733,A26,12-Aug-05,398164.37
734,A27,5-May-04,423643.87
735,A28,6-May-06,473313.07
736,A29,7-May-05,161197.38
737,A30,8-May-06,49201.73
738,A31,9-May-05,438848.56
739,A32,10-May-06,18858.86
740,A33,11-Jul-06,396124.84
741,A34,12-Aug-05,293209.49
742,A35,13-Sep-04,31811.8
743,A36,20-Nov-05,367209.15
744,A37,21-Nov-06,244040.85
745,A38,22-Nov-05,136309.34
746,A39,23-Nov-04,21716.06
747,A40,24-May-05,194880.87
748,A41,25-May-05,21440.76
749,A42,26-May-05,367320.11
750,A43,27-May-05,81721.01
751,A44,28-May-05,364007.57
752,A45,29-May-05,423236.29
753,A46,30-May-05,373651.3
754,A47,31-May-05,174878.11
755,A48,1-Jun-05,248235.37
756,A49,2-Jun-05,329224.73
757,A21,3-Jun-05,212853.99
758,A22,3-Jul-05,238688.54
759,A23,3-Aug-05,170028.69
760,A24,3-Sep-05,428164.73
761,A25,3-Oct-05,129668.84
762,A26,3-Nov-05,173747.26
763,A27,3-Dec-05,136860.63
764,A28,3-Jan-06,84875.95
765,A29,3-Feb-06,85329.7
766,A30,3-Mar-06,120377.58
767,A31,3-Apr-06,13054.67
768,A32,3-May-06,62569.1
769,A33,3-Jun-06,448965.39
770,A34,3-Jul-06,175103.69
771,A35,3-Aug-06,221873.36
772,A36,3-Sep-06,406166.71
773,A37,3-Oct-06,86820.21
774,A38,3-Nov-06,138714.56
775,A39,3-Dec-06,278687.47
776,A40,12-Jan-04,472094.9
777,A41,3-Jan-04,192378.3
778,A42,15-Jan-04,343606.96
779,A43,25-Jan-04,109536.84
780,A44,17-Jan-05,464352.17
781,A45,23-Feb-05,220739.59
782,A46,1-Feb-05,44231.79
783,A47,5-Feb-04,288568.47
784,A48,28-Feb-05,334597.29
785,A49,16-Feb-05,81704.61
786,A21,23-Feb-05,22190.97
787,A22,3-Feb-05,206706.51
788,A23,4-Feb-06,72917.32
789,A24,25-Mar-06,263585.99
790,A25,31-Mar-06,341838.81
791,A26,23-Mar-06,265322.98
792,A27,24-Mar-06,133747.43
